group_name,state,valid_district_id,valid_nces_id,valid_opp_count,valid_opp_revenue,valid_school_count,valid_session_count,valid_session_revenue,valid_course_count,orphaned_district_id,orphaned_opp_count,orphaned_opp_revenue,orphaned_school_count,orphaned_session_count,orphaned_course_count,combined_revenue,action
RURAL SCHOOLS INNOVATION ZONE,TX,17592244905888,17592244905888 ,19,263458.1,5,794,175227.37,46,17592243271268,7,94529.45,0,0,0,533214.92,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
NEWFIELD CENTRAL SCHOOL DISTRICT,NY,17592297177619,3620790,10,325302.48,4,2044,68912.78,30,17592188091400,6,138932,0,0,0,533147.26,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
YONKERS CITY SCHOOL DISTRICT,NY,17592295188633,3631920,0,0,40,0,0,0,17592284313455,1,510000,0,0,0,510000,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
LUBBOCK INDEPENDENT SCHOOL DISTRICT,TX,17592295226527,4828500,0,0,54,0,0,0,17592284312406,1,500000,0,0,0,500000,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
WATERLOO CENTRAL SCHOOL DISTRICT,NY,17592297177515,3600014,6,257608.94,5,1794,162790.32,76,17592288460756,3,65124.81,0,0,0,485524.07,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
SEED PCS (DISTRICT),DC,17592246665043,17592246665043,8,202884.36,2,1381,102730.62,11,17592246622454,6,171651.0,0,0,0,477265.99,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
LANCASTER COUNTY SCHOOL DISTRICT 01,SC,17592247426970,4502580,6,301244.87,25,143,54189.85,2,17592247419176,3,115000,0,0,0,470434.72,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
CHAPPAQUA SCHOOL DISTRICT,NY,17592297177559,17592238766907 ,17,227274,7,1483,57733.89,394,17592191923626,13,180274,0,0,0,465281.89,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
GARRISON SCHOOL DISTRICT,NY,17592295269620,3611860,0,0,1,0,0,0,17592188518444,3,452573.12,0,0,0,452573.12,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
CAMBRIDGE CENTRAL SCHOOL DISTRICT,NY,17592297177558,17592238766781,5,221535.9,3,109,2530,10,17592236574016,4,219240.9,0,0,0,443306.8,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
HAUPPAUGE SCHOOL DISTRICT,NY,17592238767067,3613980,17,229524.88,5,2568,83103.06,92,17592191415703,12,130524.88,0,0,0,443152.82,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
KING CENTER CHARTER SCHOOL,NY,17592246338253,360003504336,4,221537.5,1,844,0,23,17592187828577,4,221537.5,0,0,0,443075.0,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
PATCHOGUE - MEDFORD SCHOOL DISTRICT,NY,17592246347867,3622470,19,206194.21,12,3578,34024.29,254,17592191420228,18,196194.21,0,0,0,436412.71,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
SIERRA-PLUMAS JOINT UNIFIED SCHOOL DISTRICT,CA,17592246533218,636780,3,189496.56,7,641,50744.88,7,17592246522929,3,189496.56,0,0,0,429738.0,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
LIBERTY SCHOOL DISTRICT,NY,17592297177605,3617220,8,213191.3,8,513,8485.48,9,17592188519140,7,204191.3,0,0,0,425868.08,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
WESTHAMPTON BEACH SCHOOL DISTRICT,NY,17592236333681,3631020,13,212813,4,91,0,5,17592191781181,13,212813,0,0,0,425626,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
NOTTOWAY COUNTY PUBLIC SCHOOLS,VA,17592295218700,5102790,4,208250,6,38,2625,20,17592241851065,4,208250,0,0,0,419125,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
KINGSTON CITY SCHOOL DISTRICT,NY,17592297177600,17592241292090 ,9,264514.99,14,2136,89379.75,64,17592193636697,5,59624.6,0,0,0,413519.34,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
CANAJOHARIE SCHOOL DISTRICT,NY,17592297177366,3606300,11,224094.49,4,2645,113121.02,74,17592191467907,7,69385.5,0,0,0,406601.02,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
KATONAH-LEWISBORO SCHOOL DISTRICT,NY,17592297177599,3616080,19,189455,6,871,33939.78,65,17592190763038,14,174455,0,0,0,397849.78,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
SONOMA VALLEY UNIFIED SCHOOL DISTRICT,CA,17592247228282,637200,2,197000,10,240,82246.5,3,17592247238751,1,100000,0,0,0,379246.5,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
CONNETQUOT CENTRAL SCHOOL DISTRICT,NY,17592238766924,3608160,14,191531.74,10,824,0,167,17592188843481,13,176531.74,0,0,0,368063.48,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
SHOREHAM - WADING RIVER SCHOOL DISTRICT,NY,17592246333803,3626840,9,212348,4,1588,46865.1,112,17592190116331,6,103870,0,0,0,363083.1,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
GWINNETT HOMESCHOOL AND PRIVATE SCHOOL,GA,17592252187527,17592252187527 ,3,161161.25,1,2330,99841.97,35,17592245837794,2,100262.5,0,0,0,361265.72,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
MATTITUCK - CUTCHOGUE SCHOOL DISTRICT,NY,17592238767274,3600021,13,193750,3,4646,38770.76,132,17592190541975,9,126750,0,0,0,359270.76,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
LUCERNE ELEMENTARY SCHOOL DISTRICT,CA,17592238767272,623040,3,173075,2,1323,13112.5,23,17592194989574,3,173075,0,0,0,359262.5,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
ELDRED SCHOOL DISTRICT,NY,17592297177570,3610410,8,175856,3,79,1700,31,17592191953936,8,175856,0,0,0,353412,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
STARPOINT SCHOOL DISTRICT,NY,17592297177377,3628050,15,189500,5,1058,39676.91,82,17592190777817,11,123500,0,0,0,352676.91,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
PELHAM SCHOOL DISTRICT,NY,17592297177628,3622680,7,174540,7,149,0,158,17592191139687,7,174540,0,0,0,349080,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
EASTPORT SOUTH MANOR SCHOOL DISTRICT,NY,17592246331856,17592246331856 ,16,171665.3,6,2283,69137.57,163,17592191139128,10,101665.3,0,0,0,342468.17,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
NISKAYUNA CENTRAL SCHOOL DISTRICT,NY,17592297177500,17592241810564,8,169707.9,9,1709,46205.53,33,17592240276780,5,125837.7,0,0,0,341751.13,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
PALO ALTO UNIFIED SCHOOL DISTRICT,CA,17592246103700,629610,4,199627.64,20,1843,67311.29,33,17592242586642,2,74625,0,0,0,341563.93,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
WILLIAMSVILLE SCHOOL DISTRICT,NY,17592285316561,3631470,11,189873.25,14,929,11286.82,119,17592191980469,10,139873.25,0,0,0,341033.32,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
BAYPORT - BLUE POINT SCHOOL DISTRICT,NY,17592238765718,3604110,13,179950.96,4,2028,19029.03,180,17592188429900,10,141450.96,0,0,0,340430.95,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
RIDGE VIEW HIGH SCHOOL,SC,17592238767514,450339000118,8,165055,1,800,4281.68,64,17592192011580,8,165055,0,0,0,334391.68,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
SAN MARCOS UNIFIED SCHOOL DISTRICT,CA,17592295264818,634880,0,0,19,0,0,0,17592284314838,3,317719,0,0,0,317719,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
COPPER RIVER SCHOOL DISTRICT,AK,17592246665016,17592246665016,2,132913.84,6,181,51016.92,4,17592246631973,2,132913.84,0,0,0,316844.6,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
CALISTOGA JOINT UNIFIED SCHOOL DISTRICT,CA,17592238766779,607020,6,163435.14,4,839,74862.7,20,17592233266203,3,76877.75,0,0,0,315175.59,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
WHITNEY POINT CENTRAL SCHOOL DISTRICT,NY,17592297177154,3631380,5,142410,4,384,26982.5,82,17592236387892,5,142410,0,0,0,311802.5,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
LAKELAND SCHOOL DISTRICT,NY,17592297177602,17592246338256,20,141961,9,1310,44501.8,47,17592188518978,16,121266,0,0,0,307728.8,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
HARBORFIELDS SCHOOL DISTRICT,NY,17592246333655,3613620,9,152535.64,4,2357,10819.36,157,17592188843670,7,144169.84,0,0,0,307524.84,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
ONE CITY SCHOOLS,WI,17592285323777,5500083,3,153380.15,1,287,75918.46,2,17592284950416,1,76380.15,0,0,0,305678.76,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
COMMERCIAL TOWNSHIP SCHOOL DISTRICT,NJ,17592297177881,3403480,8,148783.65,3,47,0,75,17592190779016,8,148783.65,0,0,0,297567.3,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
NORTH SALEM SCHOOL DISTRICT,NY,17592297177621,3621180,8,177800,3,100,5831.75,7,17592188521566,5,112000,0,0,0,295631.75,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
COMSEWOGUE SCHOOL DISTRICT,NY,17592273442850,3615780,9,148782.86,6,0,0,0,17592188843489,8,138782.86,0,0,0,287565.72,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
SOUTHAMPTON SCHOOL DISTRICT,NY,17592255885646,3627540,6,157608,4,78,28152,2,17592188054258,4,100080,0,0,0,285840,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
SYOSSET CENTRAL SCHOOL DISTRICT,NY,17592246347870,3628560,12,141414.58,10,336,540,32,17592190541945,11,138914.58,0,0,0,280869.16,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
WESTHILL SCHOOL DISTRICT,NY,17592297177408,3607320,13,180358.16,5,1430,37209.15,104,17592188843781,7,57938,0,0,0,275505.31,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
MIRACOSTA COLLEGE/OCEANSIDE UNIFIED SCHOOL DISTRICT,CA,17592236333764,628250,5,133839,30,17,0,4,17592188843578,5,133839,0,0,0,267678,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
CAZENOVIA CENTRAL SCHOOL DISTRICT,NY,17592297177341,3606780,4,160752,4,180,47752.2,2,17592292343494,2,47752,0,0,0,256256.2,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
PINE BUSH CENTRAL SCHOOL DISTRICT,NY,17592297177425,17592246759911,2,161364,8,3786,94684.85,114,17592188078024,1,0,0,0,0,256048.85,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
ROCHESTER COMMUNITY UNIT SCHOOL DISTRICT 3A,IL,17592246338437,17592246338437 ,5,133052.67,6,375,19707.94,20,17592241155113,3,101943.5,0,0,0,254704.11,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
URBAN ASSEMBLY INSTITUTE OF MATH AND SCIENCE FOR YOUNG WOMEN,NY,17592259503858,360009105928,3,126581.8,1,8,1170.24,2,17592259485062,2,125000,0,0,0,252752.04,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
BIBB COUNTY SCHOOL DISTRICT,GA,17592295371106,1300420,0,0,39,0,0,0,17592284311660,2,250000,0,0,0,250000,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
MEMPHIS-SHELBY COUNTY SCHOOL DISTRICT,TN,17592295310647,4700148,0,0,213,0,0,0,17592284312015,2,250000,0,0,0,250000,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
HARLANDALE INDEPENDENT SCHOOL DISTRICT,TX,17592295381471,4822470,0,0,30,0,0,0,17592284314565,2,250000,0,0,0,250000,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
SCHOOL DISTRICT OF DESOTO COUNTY,FL,17592295335665,1200420,0,0,13,0,0,0,17592284317556,1,250000,0,0,0,250000,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
JAMESTOWN PUBLIC SCHOOLS,NY,17592297177182,17592238767200,7,121846.15,12,1007,51004.6,56,17592188843561,4,76447,0,0,0,249297.75,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
SOUTH GLENS FALLS SCHOOL DISTRICT,NY,17592295369091,3627240,0,0,6,0,0,0,17592188522775,9,249250,0,0,0,249250,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
HOLLAND PATENT CENTRAL SCHOOL DISTRICT,NY,17592297177382,3614580,2,122000,5,0,0,2,17592222178579,2,122000,0,0,0,244000,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
WESTBURY SCHOOL DISTRICT,NY,17592275339664,3630960,4,119750,6,0,0,0,17592188843883,3,109750,0,0,0,229500,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
BROOKLYN HIGH SCHOOL FOR LAW AND TECHNOLOGY,NY,17592257289027,17592257289027,2,119441,1,40,6617.76,3,17592257128781,1,100000,0,0,0,226058.76,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
CALHOUN FALLS CHARTER,SC,17592252963497,17592238809598 ,2,113750.25,1,75,31250.25,1,17592252963553,1,80000,0,0,0,225000.5,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
LEWISTON-PORTER CENTRAL SCHOOL DISTRICT,NY,17592297177370,3617190,4,111126.8,5,865,41441.12,59,17592238997726,3,70080,0,0,0,222647.92,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
WANTAGH SCHOOL DISTRICT,NY,17592276032166,3629850,10,111406.5,5,0,0,0,17592188843837,9,101406.5,0,0,0,212813.0,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
PATERSON CHARTER SCHOOL FOR SCIENCE AND TECHNOLOGY,NJ,17592246338408,17592246338408 ,4,154782.6,2,216,27331.6,11,17592252701673,1,30000,0,0,0,212114.2,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
QUOGUE,NY,17592273648330,3624060,13,101879.22,1,0,0,0,17592188843529,12,99379.22,0,0,0,201258.44,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
LOCUST VALLEY SCHOOL DISTRICT,NY,17592246338280,3617700,10,105106,7,0,0,0,17592188843606,9,95106,0,0,0,200212,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
MIDDLESEX BOROUGH SCHOOL DISTRICT,NJ,17592295290690,3410050,0,0,6,0,0,0,17592284313061,1,200000,0,0,0,200000,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
CATO-MERIDIAN SCHOOL DISTRICT,NY,17592297177168,3606690,13,99785,4,102,0,32,17592191497776,13,99785,0,0,0,199570,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
OCEANSIDE SCHOOL DISTRICT,NY,17592246548927,3621570,9,99277,11,189,0,54,17592188843759,9,99277,0,0,0,198554,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
DRYDEN SCHOOL DISTRICT,NY,17592297177565,3609330,12,81436.85,6,1252,49167.15,77,17592188004617,11,65244.35,0,0,0,195848.35,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
HEMPSTEAD SCHOOL DISTRICT,NY,17592238767077,17592246348262,6,109157.5,11,26,7191.78,25,17592188139795,4,76657.5,0,0,0,193006.78,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
BEACON CITY SCHOOL DISTRICT,NY,17592238765730,3604140,11,96346.7,7,621,1980,38,17592188527002,10,87191.5,0,0,0,185518.2,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
HONEOYE CENTRAL SCHOOL DISTRICT,NY,17592297177465,3614670,8,70828.75,3,843,43218.93,25,17592226149466,8,70828.75,0,0,0,184876.43,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
PLAINVIEW OLD-BETHPAGE SCHOOL DISTRICT,NY,17592258054345,3623220,12,90676.28,8,297,5218.05,25,17592190777007,10,86076.28,0,0,0,181970.61,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
PLEASANTVILLE SCHOOL DISTRICT,NY,17592295369104,3623310,0,0,3,0,0,0,17592188077766,5,180955,0,0,0,180955,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
WILLIAM FLOYD SCHOOL DISTRICT,NY,17592295329523,3618690,0,0,9,0,0,0,17592188524073,8,177515.18,0,0,0,177515.18,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
EAST AURORA UNION FREE,NY,17592238766946,17592238766946 ,7,65706.05,4,1024,49078.19,56,17592236806620,6,60948,0,0,0,175732.24,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
BROOKLYN HIGH SCHOOL FOR MUSIC AND THEATER,NY,17592288140137,360009505514,1,85108.56,1,0,0,0,17592284313090,1,85108.56,0,0,0,170217.12,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
SOUTH HUNTINGTON SCHOOL DISTRICT,NY,17592246333786,3627300,9,73232.4,6,380,15386.77,10,17592188053977,9,73232.4,0,0,0,161851.57,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
PUTNAM VALLEY SCHOOL DISTRICT,NY,17592295373078,3623970),2,44000,4,612,42905.16,7,17592188066540,4,74000,0,0,0,160905.16,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
JOHNSON COUNTY SCHOOL DISTRICT,GA,17592295204632,1303120,0,0,3,0,0,0,17592284317947,1,160000,0,0,0,160000,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
BETHPAGE SCHOOL DISTRICT,NY,17592246331613,3604740,10,80520,5,440,760,76,17592188527168,9,77520,0,0,0,158800,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
NANUET SCHOOL DISTRICT,NY,17592297177483,17592246338335 ,12,76396.86,6,1235,20177.22,84,17592188843763,9,60691.96,0,0,0,157266.04,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
ORCHARD PARK CENTRAL SCHOOL DISTRICT,NY,17592297177260,17592246426163,6,89594,7,286,16020.39,45,17592194758035,3,45160,0,0,0,150774.39,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
COOPERSTOWN SCHOOL DISTRICT,NY,17592297177444,17592246340772,7,75225,3,109,120,25,17592188432144,7,75225,0,0,0,150570,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
RICHLAND NORTHEAST HIGH,SC,17592238767512,450339001312,6,53085,1,2312,44302,117,17592192008564,6,53085,0,0,0,150472,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
LIVONIA SCHOOL DISTRICT,NY,17592295203543,3617640,0,0,3,0,0,0,17592193636953,2,150000,0,0,0,150000,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
BREWSTER SCHOOL DISTRICT,NY,17592297177455,3605310,7,75000,7,32,0,27,17592188430546,7,75000,0,0,0,150000,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
MAYFIELD SCHOOL DISTRICT,NY,17592297177284,3618750,6,76005.5,3,253,9412.13,58,17592188843801,5,61700,0,0,0,147117.63,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
ROCKVILLE CENTRE SCHOOL DISTRICT,NY,17592246338439,3624780,14,73112.5,8,593,3880,39,17592190542218,13,70112.5,0,0,0,147105.0,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
CENTRAL VALLEY SCHOOL DISTRICT,NY,17592297177309,3601087,4,76872.74,38,722,31909.78,7,17592246779337,1,37608.45,0,0,0,146390.97,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
ARDSLEY SCHOOL DISTRICT,NY,17592297177548,3603180,4,73000,4,20,0,23,17592188371958,4,73000,0,0,0,146000,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
FONDA-FULTONVILLE SCHOOL DISTRICT,NY,17592297177367,17592246333592,7,75377,3,0,0,0,17592188843501,6,70175,0,0,0,145552,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
CAMDEN-FAIRVIEW SCHOOL DISTRICT,AR,17592249815282,17592249815282,2,89625,7,239,14600,3,17592249809960,1,35350,0,0,0,139575,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
CANDOR CENTRAL SCHOOL DISTRICT,NY,17592238766840,3606420,4,48414.4,3,1101,46191.16,7,17592237226461,3,44800,0,0,0,139405.56,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
ACADEMY OF GOD,TN,17592238765583,17592238765583,2,96978.02,0,269,5430,0,17592216246772,1,36443.7,0,0,0,138851.72,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
PEEKSKILL CITY SCHOOL DISTRICT,NY,17592295216090,3622650,0,0,6,0,0,0,17592188521620,8,138390,0,0,0,138390,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
HERRICKS SCHOOL DISTRICT,NY,17592276059090,3614280,7,69484,6,0,0,51,17592190542183,6,66984,0,0,0,136468,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
TICONDEROGA CENTRAL SCHOOL DISTRICT,NY,17592297177272,17592252176406,6,66358.4,4,509,35133.12,12,17592252177303,2,34824.4,0,0,0,136315.92,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
BEMUS POINT SCHOOL DISTRICT,NY,17592297177172,3604530,9,68894.77,3,564,23017.26,34,17592188168720,5,42677,0,0,0,134589.03,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
WEEDSPORT SCHOOL DISTRICT,NY,17592297177668,3630420,9,71689.48,2,165,9338.32,22,17592187985397,6,53471.75,0,0,0,134499.55,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
GREENE CENTRAL SCHOOL DISTRICT,NY,17592297177195,17592246333642,4,61620,5,228,11112.85,9,17592240507269,4,61620,0,0,0,134352.85,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
HEWLETT WOODMERE SCHOOL DISTRICT,NY,17592242651142,3631710,10,85182,6,556,18354.6,29,17592188843437,8,22682,0,0,0,126218.6,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
PUTNAM-WESTCHESTER BOCES,NY,17592295213393,3680680,0,0,1,0,0,0,17592284310980,2,125000,0,0,0,125000,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
GREEN ISLAND UNION FREE SCHOOL DISTRICT,NY,17592297177124,3612660,4,64702,2,39,510.0,18,17592241856384,3,59500,0,0,0,124712.0,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
SOLVAY SCHOOL DISTRICT,NY,17592297177404,17592246333800 ,8,60285,4,107,80,29,17592190112010,8,60285,0,0,0,120650,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
EAST BLOOMFIELD CENTRAL SCHOOL DISTRICT,NY,17592297177410,17592246447970 ,5,76068.2,4,254,8909.7,13,17592193851091,2,35258.2,0,0,0,120236.1,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
PORT WASHINGTON SCHOOL DISTRICT,NY,17592276032878,3623580,11,59386.08,7,0,0,0,17592190542151,10,56886.08,0,0,0,116272.16,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
CLEVELAND HILL SCHOOL DISTRICT,NY,17592295218470,3607680,0,0,3,0,0,0,17592188431337,5,114650,0,0,0,114650,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
GREENPORT SCHOOL DISTRICT,NY,17592246983057,3612840,11,74851.39,3,846,14026.53,67,17592191645737,9,24851.39,0,0,0,113729.31,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
OYSTER BAY EAST NORWICH SCHOOL DISTRICT,NY,17592242579600,3622290,12,53761.5,5,370,11077.2,27,17592188843737,10,48761.5,0,0,0,113600.2,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
ROSLYN SCHOOL DISTRICT,NY,17592238809610,3625050,12,57149,6,357,0,38,17592188843630,11,54649,0,0,0,111798,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
HALDANE SCHOOL DISTRICT,NY,17592297177458,17592259278096,5,55820,4,0,0,2,17592188843584,5,55820,0,0,0,111640,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
KINGMAN UNIFIED SCHOOL DISTRICT,AZ,17592295346626,400295,4,72822.58,15,797,22699.13,8,17592294784210,2,14713.69,0,0,0,110235.4,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
MOUNT PLEASANT COTTAGE SCHOOL DISTRICT,NY,17592297177612,3608470,5,54304,3,0,0,9,17592188843704,5,54304,0,0,0,108608,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
GREENBURGH SCHOOL DISTRICT,NY,17592295197348,3612720,0,0,5,0,0,0,17592188843658,8,106613,0,0,0,106613,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
TULLY CENTRAL SCHOOL DISTRICT,NY,17592297177406,17592246333728 ,4,48383,3,124,9734.15,18,17592237182370,4,48383,0,0,0,106500.15,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
MOUNT MARKHAM CENTRAL SCHOOL DISTRICT,NY,17592297177305,17592241944596,4,49071,3,537,6526.7,29,17592188843735,4,49071,0,0,0,104668.7,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
WEST HOLMES LOCAL SCHOOL DISTRICT,OH,17592295380663,3904769,0,0,8,0,0,0,17592284312471,1,102190,0,0,0,102190,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
ALBANY CITY SCHOOL DISTRICT,NY,17592295335585,3602460,0,0,18,0,0,0,17592193633750,1,100000,0,0,0,100000,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
VOORHEESVILLE CENTRAL SCHOOL DISTRICT,NY,17592295211274,3629670,0,0,3,0,0,0,17592284311699,1,100000,0,0,0,100000,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
MOUNT ADAMS SCHOOL DISTRICT,WA,17592295330492,5305280,0,0,3,0,0,0,17592284312749,1,100000,0,0,0,100000,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
HIGHLAND FALLS-FORT MONTGOMERY CSD,NY,17592292316429,17592292316429,4,45721,1,90,7958.7,1,17592188139507,4,45721,0,0,0,99400.7,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
