group_name,state,valid_district_id,valid_nces_id,valid_opp_count,valid_opp_revenue,valid_school_count,valid_session_count,valid_session_revenue,valid_course_count,orphaned_district_id,orphaned_opp_count,orphaned_opp_revenue,orphaned_school_count,orphaned_session_count,orphaned_course_count,combined_revenue,action
BARTLETT INDEPENDENT SCHOOL DISTRICT,TX,17592295272058,4809540,0,0,1,0,0,0,17592284313226,1,75000,1,0,0,75000,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
VEGA INDEPENDENT SCHOOL DISTRICT,TX,17592296971557,4843980,0,0,3,0,0,0,17592284313525,1,75000,1,0,0,75000,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
SPLENDORA INDEPENDENT SCHOOL DISTRICT,TX,17592296970012,4841070,0,0,7,0,0,0,17592284314576,1,75000,1,0,0,75000,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
SOUTHWEST INDEPENDENT SCHOOL DISTRICT,TX,17592296969980,4840950,0,0,19,0,0,0,17592284317941,1,75000,1,0,0,75000,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
BROOME-DELAWARE-TIOGA BOCES,NY,17592295328255,3680140,0,0,1,0,0,0,17592284310715,2,74750,1,0,0,74750,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
LAKE AND PENINSULA SCHOOL DISTRICT,AK,17592295272957,200485,0,0,13,0,0,0,17592188843680,4,73970,1,0,0,73970,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
ARANSAS PASS INDEPENDENT SCHOOL DISTRICT,TX,17592295229977,4808580,0,0,6,0,0,0,17592284312544,1,70000,1,0,0,70000,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
ALIEF ISD,TX,17592296963062,4807830,0,0,46,0,0,0,17592188524728,5,69115,1,0,0,69115,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
RIVERHEAD SCHOOL DISTRICT,NY,17592297007420,3624690,0,0,8,0,0,0,17592188522136,5,65000,1,0,0,65000,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
BENAVIDES INDEPENDENT SCHOOL DISTRICT,TX,17592295286122,4899130,0,0,2,0,0,0,17592193634004,1,65000,1,0,0,65000,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
