,,,,,,"$67,677,942.08","$27,680,666.65","$1,716,620.53","$7,041,752.33","$31,238,902.57","$38,099,573.99",,,
Account,LEA ID,State,Territory Plan Name,Territory Plan Fiscal Year,Distroct Owner,Company,Renewal Target,Expansion Target,Win Back Target,New Business Target,FY27 Open Pipeline,,,
Barstow Unified School District,0604020,CA,California 2027,2027,Monica Sherwood,Fullmind,"$1,201,661.37","$285,000.00",$0.00,$0.00,"$2,000,000.00",,,
Basehor-Linwood Unified School District 458,2003780,KS,Kansas 2027,2027,Alex Hofeldt,EK12,$0.00,$0.00,$0.00,"$36,000.00",$0.00,,,
Bastrop Independent School District,4809570,TX,Texas 2027,2027,Michelle Mirzoian,EK12,$0.00,$0.00,$0.00,"$22,280.00",$0.00,,,
Batavia City School District,3603990,NY,New York 2027,2027,Mike O'Donnell,Fullmind,"$236,305.53",$0.00,$0.00,$0.00,"$325,000.00",,,
Bath Central School District,3604050,NY,New York 2027,2027,Mike O'Donnell,Fullmind,$0.00,$0.00,$0.00,"$9,000.00",$0.00,,,
Bayport - Blue Point School District,3604110,NY,New York 2027,2027,Rachel Reynoso,Fullmind,$744.60,$0.00,$0.00,$0.00,$0.00,,,
Bcluw Community School District,1904440,IA,Iowa 2027,2027,Katelyn Hansen,EK12,$0.00,$0.00,$0.00,"$27,900.00",$0.00,,,
Beacon City School District,3604140,NY,New York 2027,2027,Rachel Reynoso,Fullmind,$0.00,$0.00,$0.00,$0.00,$0.00,,,
Beaufort County Schools 01,4501110,SC,South Carolina 2027,2027,Liz Winnen,EK12,$0.00,$0.00,$0.00,"$16,110.00",$0.00,,,
Beaumont United High School,4809670,TX,Texas 2027,2027,Melodie Blackwood,Fullmind,$0.00,$0.00,$0.00,"$20,000.00",$0.00,,,
Beecher Community School District,2604500,MI,Michicagn 2027,2027,,EK12,$0.00,$0.00,"$38,285.00",$0.00,$0.00,,,
Beeville Independent School District,4809720,TX,Texas 2027,2027,Michelle Mirzoian,EK12,$0.00,$0.00,$0.00,"$201,400.00",$0.00,,,
Belvidere School District,3401440,NJ,New Jersey 2027,2027,Colin Herbrand,EK12,$0.00,$0.00,$0.00,"$15,000.00",$0.00,,,
Bemidji Public Schools,2704440,MN,Minnesota 2027,2027,Tony,Fullmind,$0.00,$0.00,$0.00,"$75,000",$0.00,,,
Bemus Point School District,3604530,NY,New York 2027,2027,,Fullmind,$0.00,$0.00,"$10,868.00",$0.00,$0.00,,,
Benavides Independent School District,4899130,TX,Texas 2027,2027,Melodie Blackwood,Fullmind,$0.00,$0.00,$0.00,"$26,000.00",$0.00,,,
Berkeley County School District 01,4501170,SC,South Carolina 2027,2027,Melodie Blackwood,Fullmind,"$676,628.30",$0.00,$0.00,$0.00,"$2,600,000.00",,,
Berkeley County Schools,5400060,WV,West Virginia,2027,Kris Tedesco,Fullmind,$0.00,$0.00,$0.00,$0.00,$0.00,,,
Bertie County Schools,3700360,NC,North Carolina 2027,2027,Connor Watts,EK12,$0.00,$0.00,$0.00,"$12,000.00",$0.00,,,
Berwyn North School District 98,1706060,IL,Illinois 2027,2027,Paul Sheffield,Fullmind,$0.00,$0.00,$0.00,"$24,000.00",$0.00,,,
Bessemer City Schools,0100330,AL,Alabama 2027,2027,Brigette Smith,EK12,$0.00,$0.00,$0.00,"$29,664.00",$0.00,,,
Bethpage School District,3604740,NY,New York 2027,2027,Rachel Reynoso,Fullmind,$0.00,$0.00,$0.00,$0.00,$0.00,,,
Bibb County School District,1300420,GA,Georgia 2027,2027,Nora Navarro,EK12,"$249,996.00","$60,000.00",$0.00,$0.00,"$218,720.00",,,
Big Oak Flat-Groveland Unified School District,0691137,CA,California 2027,2027,Connor Watts,EK12,$0.00,$0.00,$0.00,"$10,800.00",$0.00,,,
Birmingham City Schools,0100390,AL,Alabama 2027,2027,Liz Winnen,EK12,$0.00,$0.00,$0.00,"$50,000.00","$50,000.00",,,
Bixby Public Schools,4004500,OK,Oklahoma 2027,2027,Phil Dugliss,EK12,$0.00,$0.00,$0.00,"$36,000.00",$0.00,,,
Black Oak Mine Unified School District,0605240,CA,California 2027,2027,Scott Burmaster,EK12,$0.00,$0.00,$0.00,"$38,920.00",$0.00,,,
Bloom Academy Charter School,4801466,TX,Texas 2027,2027,Melodie Blackwood,Fullmind,"$8,489.60",$0.00,$0.00,$0.00,$0.00,,,
Bloomfield School District,1800600,IN,Indiana 2027,2027,Melodie Blackwood,Fullmind,$0.00,$0.00,$0.00,"$3,900.00",$0.00,,,
Bloomfield Schools,3500240,NM,New Mexico 2027,2027,Allie Vincent,EK12,$0.00,$0.00,$0.00,"$13,500.00",$0.00,,,
Blytheville School District,0503320,AR,Arkansas 2027,2027,,EK12,$0.00,$0.00,"$54,950.00",$0.00,$0.00,,,
Boone County Schools,3702400,KY,Kentucky 2027,2027,Kris Tedesco,Fullmind,$0.00,$0.00,$0.00,$0.00,$0.00,,,
Bossier Parish School Board,2200270,LA,Louisiana 2034,2027,Nora Navarro,EK12,$0.00,$0.00,$0.00,"$40,000.00","$40,000.00",,,
Boston Public Schools,2502790,MA,Massachusettes 2027,2027,Kris Tedesco,Fullmind,$0.00,$0.00,$0.00,"$500,000.00",$0.00,,,
