,,,,,,"$67,677,942.08","$27,680,666.65","$1,716,620.53","$7,041,752.33","$31,238,902.57","$38,099,573.99",,,
Account,LEA ID,State,Territory Plan Name,Territory Plan Fiscal Year,Distroct Owner,Company,Renewal Target,Expansion Target,Win Back Target,New Business Target,FY27 Open Pipeline,,,
Connetquot Central School District,3608160,NY,New York 2027,2027,Rachel Reynoso,Fullmind,$0.00,$0.00,$0.00,$0.00,$0.00,,,
Contra Costa School of Performing Arts,0602336,CA,California 2027,2027,,EK12,$0.00,$0.00,"$24,112.00","$15,000.00",$0.00,,,
Cook County School District 104,1706510,IL,Illinois 2027,2027,Paul Timlin,EK12,$0.00,$0.00,$0.00,"$13,500.00",$0.00,,,
Coolidge Unified District,0402320,AZ,Arizona 2027,2027,,EK12,$0.00,$0.00,"$45,693.73",$0.00,$0.00,,,
Coon Rapids-Bayard Community School District,1908070,IA,Iowa 2027,2027,Liz Winnen,EK12,"$58,150.00",$0.00,$0.00,$0.00,"$58,150.00",,,
Cooperstown School District,3608250,NY,New York 2027,2027,Mike O'Donnell,Fullmind,$0.00,$0.00,$0.00,"$6,000.00",$0.00,,,
Copiah County School District,2801220,MS,Mississippi 2027,2027,Nora Navarro,EK12,$0.00,$0.00,$0.00,"$12,300.00",$0.00,,,
Copper River School District,0200070,AK,Alaska 2027,2027,,Fullmind,$0.00,$0.00,"$26,732.40",$0.00,$0.00,,,
Corning-Painted Post School District,3608400,NY,New York 2027,2027,Mike O'Donnell,Fullmind,"$93,783.84",$0.00,$0.00,$0.00,"$110,000.00",,,
Country Club Hills School District 160,1711010,IL,Illinois 2027,2027,Paul Timlin,EK12,$0.00,$0.00,$0.00,"$94,500.00",$0.00,,,
Coweta Charter Academy,1301500,GA,Georgia 2027,2027,Stephen Moreland,EK12,$0.00,$0.00,$0.00,"$21,400.00",$0.00,,,
Cresthaven Academy Charter School,3400786,NJ,New Jersey 2027,2027,,EK12,$0.00,$0.00,"$61,181.83",$0.00,$0.00,,,
Crete Monee Community Unit School District 201U,1711250,IL,Illinois 2027,2027,Phil Dugliss,EK12,"$46,500.00",$0.00,$0.00,$0.00,"$46,500.00",,,
Creve Coeur School District 76,1711290,IL,Illinois 2027,2027,Connor Watts,EK12,$0.00,$0.00,$0.00,"$15,400.00",$0.00,,,
Crockett Independent School District,4815720,TX,Texas 2027,2027,Connor Watts,EK12,$0.00,$0.00,$0.00,"$29,500.00",$0.00,,,
Crossroads Charter Schools,2900603,MO,Missouri 2027,2027,Liz Winnen,EK12,$0.00,$0.00,$0.00,"$20,925.00",$0.00,,,
Cudahy School District,5503060,WI,Wisconsin 2027,2027,Alex Hofeldt,EK12,$0.00,$0.00,$0.00,"$24,834.00",$0.00,,,
Cuero Independent School District,4815960,TX,Texas 2027,2027,,EK12,$0.00,$0.00,"$37,464.00",$0.00,$0.00,,,
Cultural Arts Academy Charter School at Spring Creek (District),3601014,NY,New York 2027,2027,Paul Sheffield,Fullmind,$0.00,$0.00,$0.00,"$30,000.00",$0.00,,,
Cumberland Regional District,3403620,NJ,New Jersey 2027,2027,Colin Herbrand,EK12,$0.00,$0.00,$0.00,"$18,000.00",$0.00,,,
Cumberland School District,5503090,WI,Wisconsin 2027,2027,Alex Hofeldt,EK12,$0.00,$0.00,$0.00,"$27,000.00",$0.00,,,
Custer County School District Consolidated 1,0807200,CO,Colorado 2027,2027,,EK12,$0.00,$0.00,"$13,180.00",$0.00,$0.00,,,
Cutler-Orosi Joint Unified School District,0610350,CA,California 2027,2027,Monica Sherwood,Fullmind,$0.00,$0.00,$0.00,"$26,000.00",$0.00,,,
Dallas Academy,4800090,TX,Texas 2027,2027,Michelle Mirzoian,EK12,$0.00,$0.00,$0.00,"$12,748.00",$0.00,,,
Danvers Public Schools,2503990,MA,Massachusettes 2027,2027,Kris Tedesco,Fullmind,$0.00,$0.00,$0.00,"$9,792.00",$0.00,,,
Danville Independent Schools,2101440,KY,Kentucky 2027,2027,,Fullmind,$0.00,$0.00,"$39,140.00",$0.00,$0.00,,,
Darby K-12 Schools,3008280,MT,Montana 2027,2027,Matt Landwehr,EK12,"$29,450.00",$0.00,$0.00,$0.00,"$29,450.00",,,
Darlington County School District,4501860,SC,South Carolina 2027,2027,Michele Charles,EK12,$0.00,$0.00,$0.00,"$20,538.00",$0.00,,,
Dayton Public Schools,3904384,OH,Ohio 2027,2027,Jenn Russart,EK12,"$860,467.00","$249,464.80",$0.00,$0.00,"$500,000.00",,,
Decatur County School District,1301710,GA,Georgia 2027,2027,David Downs,EK12,$0.00,$0.00,$0.00,"$38,250.00",$0.00,,,
Decatur Township Metropolitan School District,1802640,IN,Indiana 2027,2027,Patricia Kiedrow,EK12,$0.00,$0.00,$0.00,"$11,331.00",$0.00,,,
Deer Park Union Free School District,3608880,NY,New York 2027,2027,Brooke Fera,Fullmind,$0.00,$0.00,$0.00,"$7,500.00",$0.00,,,
Deerfield Unified School District 216,2005400,KS,Kansas 2027,2027,Phil Dugliss,EK12,"$28,160.00",$0.00,$0.00,$0.00,"$28,160.00",,,
Del Valle Independent School District,4816620,TX,Texas 2027,2027,,EK12,$0.00,$0.00,"$12,663.20",$0.00,$0.00,,,
Delavan Community Unit School District 703,1712060,IL,Illinois 2027,2027,Phil Dugliss,EK12,"$26,360.00",$0.00,$0.00,$0.00,"$26,360.00",,,
Delavan-Darien School District,5503640,WI,Wisconsin 2027,2027,Alex Hofeldt,EK12,$0.00,$0.00,$0.00,"$16,200.00",$0.00,,,
Delaware-Chenango-Madison-Otsego Boces,3680260,NY,New York 2027,2027,Mike O'Donnell,Fullmind,$0.00,$0.00,$0.00,"$6,000.00",$0.00,,,
Dell City Independent School District,4816650,TX,Texas 2027,2027,Monica Davis,EK12,$0.00,$0.00,$0.00,"$40,112.00",$0.00,,,
Delran Township School District,3403780,NJ,New Jersey 2027,2027,Patricia Kiedrow,EK12,"$33,145.50",$0.00,$0.00,$0.00,"$33,145.50",,,
Democracy Prep,3600158,NY,New York 2027,2027,Brooke Fera,Fullmind,$0.00,$0.00,$0.00,"$500,000.00",$0.00,,,
Demopolis City Schools,0101200,AL,Alabama 2027,2027,Connor Watts,EK12,$0.00,$0.00,$0.00,"$12,000.00",$0.00,,,
Denver Public Schools No. 1,0803360,CO,Colorado 2027,2027,Jenn Russart,EK12,"$149,992.00",$0.00,"$50,400.00",$0.00,"$399,992.00",,,
Des Moines ISD,1930930,IA,Iowa 2027,2027,Tony,Fullmind,$0.00,$0.00,$0.00,"$175,000",$0.00,,,
Design Tech High (District),0602324,CA,California 2027,2027,Scott Burmaster,EK12,$0.00,$0.00,$0.00,"$29,360.00",$0.00,,,
Desoto Independent School District,4816860,TX,Texas 2027,2027,Monica Davis,EK12,$0.00,$0.00,$0.00,"$15,000.00",$0.00,,,
Detroit Academy of Arts And Sciences Middle School,2600174,MI,Michicagn 2027,2027,,EK12,$0.00,$0.00,"$13,648.00",$0.00,$0.00,,,
Detroit Leadership Academy (District),2600974,MI,Michicagn 2027,2027,Lauren Kleist,EK12,"$139,500.00",$0.00,$0.00,$0.00,"$46,500.00",,,
Detroit Public Schools Community District,2601103,MI,Michicagn 2027,2027,Michelle Mirzoian,EK12,$0.00,$0.00,$0.00,"$10,984.80",$0.00,,,
Dickinson Public Schools,3800038,ND,North Dakota 2027,2027,Tony,Fullmind,$0.00,$0.00,$0.00,"$125,000",$0.00,,,
Dickson County School District,4701020,TN,Tennessee 2027,2027,Paul Timlin,EK12,$0.00,$0.00,$0.00,"$51,000.00",$0.00,,,
Dighton Unified School District 482,2005550,KS,Kansas 2027,2027,,EK12,$0.00,$0.00,"$13,180.00",$0.00,$0.00,,,
Dighton-Rehoboth Regional School District,2504200,MA,Massachusettes 2027,2027,Mike O'Donnell,Fullmind,$0.00,$0.00,$0.00,"$6,000.00",$0.00,,,
Dillard Academy,3700074,NC,North Carolina 2027,2027,Lauren Kleist,EK12,"$53,010.00",$0.00,$0.00,$0.00,"$53,010.00",,,
District 75,3600135,NY,New York 2027,2027,Brooke Fera,Fullmind,$0.00,$0.00,$0.00,"$400,000.00",$0.00,,,
District 8,3600085,NY,New York 2027,2027,Brooke Fera,Fullmind,$0.00,$0.00,$0.00,"$250,000",$0.00,,,
District 9,3600086,NY,New York 2027,2027,Brooke Fera,Fullmind,$0.00,$0.00,$0.00,"$250,000",$0.00,,,
District of Columbia Public Charter School Board,1100030,DC,DC 2027,2027,,Fullmind,$0.00,$0.00,"$43,894.40",$0.00,$0.00,,,
Dodge City Unified School District 443,2005580,KS,Kansas 2027,2027,Phil Dugliss,EK12,$0.00,$0.00,$0.00,"$34,920.00","$34,920.00",,,
Dodgeland School District,5507260,WI,Wisconsin 2027,2027,Alex Hofeldt,EK12,$0.00,$0.00,$0.00,"$42,400.00",$0.00,,,
Dorchester Academy,2500549,SC,South Carolina 2027,2027,Joy Panko,Fullmind,$0.00,$0.00,$0.00,"$45,000.00",$0.00,,,
Dorchester County School District 02,4502010,SC,South Carolina 2027,2027,Joy Panko,Fullmind,$0.00,$0.00,$0.00,"$16,421.18",$0.00,,,
Dorchester County School District 04,4500002,SC,South Carolina 2027,2027,Nora Navarro,EK12,"$29,450.00",$0.00,$0.00,$0.00,"$29,450.00",,,
Dougherty County School District,1301830,GA,Georgia 2027,2027,Nora Navarro,EK12,"$1,531,942.00",$0.00,$0.00,$0.00,"$890,578.00",,,
Douglas County Schools,1301860,GA,Georgia 2027,2027,Nora Navarro,EK12,"$840,400.00",$0.00,$0.00,$0.00,"$167,090.00",,,
Dover School District,3302640,NH,New Hampshire 2027,2027,Kris Tedesco,Fullmind,$0.00,$0.00,$0.00,$0.00,$0.00,,,
Downingtown Area School District,4207710,PA,Pennsylvania 2027,2027,Kris Tedesco,Fullmind,$0.00,$0.00,$0.00,$0.00,$0.00,,,
Dryden School District,3609330,NY,New York 2027,2027,Rachel Reynoso,Fullmind,"$16,838.00",$0.00,$0.00,$0.00,$0.00,,,
Duluth Public Schools,2711040,MN,Minnesota 2027,2027,Tony,Fullmind,$0.00,$0.00,$0.00,"$170,000",$0.00,,,
Dumont School District,3403990,NJ,New Jersey 2027,2027,Brooke Fera,Fullmind,$0.00,$0.00,$0.00,"$96,000.00",$0.00,,,
Duncanville Independent School,4817640,TX,Texas 2027,2027,Liz Winnen,EK12,"$929,306.00",$0.00,$0.00,$0.00,"$730,000.00",,,
Dunkirk City School District,3609420,NY,New York 2027,2027,Mike O'Donnell,Fullmind,$0.00,$0.00,$0.00,"$150,000.00","$150,000.00",,,
Duplin County Schools,3701200,NC,North Carolina 2027,2027,,EK12,$0.00,$0.00,"$16,112.00",$0.00,$0.00,,,
Durham-Hillsboro-Lehigh Unified School District 410,2007290,KS,Kansas 2027,2027,Nakeia Jones,EK12,$0.00,$0.00,$0.00,"$12,000.00",$0.00,,,
Earl Monroe New Renaissance Basketball School,3601229,NY,New York 2027,2027,Hayley Spira Bauer,Fullmind,$0.00,$0.00,$0.00,"$119,200.10","$50,000.00",,,
East Aurora School District 131,1704680,IL,Illinois 2027,2027,Liz Winnen,EK12,"$75,000.00","$60,000.00",$0.00,$0.00,$0.00,,,
East Baton Rouge Parish School Board,2200540,LA,Louisiana 2030,2027,Brigette Smith,EK12,$0.00,$0.00,$0.00,"$19,456.00",$0.00,,,
East Bay Innovation Academy,0602192,CA,California 2027,2027,,EK12,$0.00,$0.00,"$10,708.00",$0.00,$0.00,,,
East Bloomfield Central School District,3604920,NY,New York 2027,2027,Kris Tedesco,Fullmind,$0.00,$0.00,"$12,100.00",$0.00,"$25,000.00",,,
East Hartford Public Schools,0901260,CT,Connecticut 2027,2027,Mike O'Donnell,Fullmind,$0.00,$0.00,$0.00,"$21,093.75",$0.00,,,
East Ramapo Central School District (Spring Valley),3627810,NY,New York 2027,2027,Kris Tedesco,Fullmind,"$386,345.00",$0.00,$0.00,$0.00,"$448,452.00",,,
East Sac County Schools,1929580,IA,Iowa 2027,2027,Phil Dugliss,EK12,"$52,440.00",$0.00,$0.00,$0.00,"$52,440.00",,,
East Wake Academy,3700070,NC,North Carolina 2027,2027,,EK12,$0.00,$0.00,"$11,990.40",$0.00,$0.00,,,
Eastern Suffolk BOCES,3680820,NY,New York 2027,2027,,Fullmind,$0.00,$0.00,"$21,317.20","$24,000.00",$0.00,,,
Eastland Independent School District,4817960,TX,Texas 2027,2027,Connor Watts,EK12,$0.00,$0.00,$0.00,"$24,000.00",$0.00,,,
Eastport South Manor School District,3600125,NY,New York 2027,2027,Rachel Reynoso,Fullmind,"$10,689.63",$0.00,$0.00,$0.00,$0.00,,,
Eau Claire Public Schools,5504050,WI,Wisconsin 2027,2027,Tony,Fullmind,$0.00,$0.00,$0.00,"$150,000",$0.00,,,
Ector County Independent School District,4818000,TX,Texas 2027,2027,Liz Winnen,EK12,"$209,802.00",$0.00,$0.00,$0.00,"$209,802.00",,,
Edgefield County School District,4502070,SC,South Carolina 2027,2027,Joy Panko,Fullmind,$0.00,$0.00,$0.00,"$15,000.00",$0.00,,,
Edinburg Consolidated Independent School District,4818180,TX,Texas 2027,2027,Lisa Bufka,EK12,$0.00,$0.00,$0.00,"$24,200.40",$0.00,,,
Edison Township School District,3404500,NJ,New Jersey 2027,2027,Brooke Fera,Fullmind,$0.00,$0.00,$0.00,"$25,000.00","$25,000.00",,,
El Paso Independent School District,4818300,TX,Texas 2027,2027,Liz Winnen,EK12,$0.00,$0.00,$0.00,"$99,000.00","$99,000.00",,,
Elbert County School District,1302010,GA,Georgia 2027,2027,Lisa Bufka,EK12,$0.00,$0.00,$0.00,"$74,720.00",$0.00,,,
Elizabethtown Independent Schools,2101650,KY,Kentucky 2027,2027,,EK12,$0.00,$0.00,"$32,094.00",$0.00,$0.00,,,
Elkhart Unified School District 218,2005790,KS,Kansas 2027,2027,,EK12,$0.00,$0.00,"$15,020.00",$0.00,$0.00,,,
Elkhorn Area School District,5504290,WI,Wisconsin 2027,2027,Phil Dugliss,EK12,$0.00,$0.00,$0.00,"$23,250.00",$0.00,,,
Elmira City School District,3610560,NY,New York 2027,2027,Mike O'Donnell,Fullmind,"$110,547.00","$34,200.00",$0.00,$0.00,"$175,000.00",,,
Elmira Heights Central School District,3610590,NY,New York 2027,2027,Mike O'Donnell,Fullmind,"$3,995.04",$0.00,$0.00,$0.00,"$50,000.00",,,
Elmsford Union Free School District,3610650,NY,New York 2027,2027,Rachel Reynoso,Fullmind,"$81,041.00","$65,000.00",$0.00,"$65,000.00","$65,000.00",,,
Elwood School District,3610680,NY,New York 2027,2027,Brooke Fera,Fullmind,$0.00,$0.00,$0.00,"$3,600.00",$0.00,,,
Emery Unified School District,0612630,CA,California 2027,2027,,EK12,$0.00,$0.00,"$25,000.00",$0.00,$0.00,,,
Eminence Community School Corporation,1803330,IN,Indiana 2027,2027,Patricia Kiedrow,EK12,"$12,400.00",$0.00,$0.00,$0.00,"$11,329.00",,,
Enfield School District,0901470,CT,Connecticut 2027,2027,Phil Dugliss,EK12,"$23,260.00",$0.00,$0.00,$0.00,"$23,260.00",,,
Englewood Public School District,3404740,NJ,New Jersey 2027,2027,Scott Burmaster,EK12,$0.00,$0.00,$0.00,"$20,980.00",$0.00,,,
Enlarged City School District of Middletown,3619320,NY,New York 2027,2027,Kris Tedesco,Fullmind,"$797,049.46","$119,556.00",$0.00,$0.00,"$934,554.00",,,
Erick Public Schools,4011040,OK,Oklahoma 2027,2027,Paul Sheffield,Fullmind,$0.00,$0.00,$0.00,"$10,500.00",$0.00,,,
Essex Regional Educational Services Commission,3480300,NJ,New Jersey 2027,2027,Brigette Smith,EK12,$0.00,$0.00,$0.00,"$33,600.00",$0.00,,,
Evansville Community School District,5504440,WI,Wisconsin 2027,2027,Phil Dugliss,EK12,$0.00,$0.00,$0.00,"$12,088.80",$0.00,,,
Evansville Vanderburgh School Corp,1803450,IN,Indiana 2027,2027,Mike O'Donnell,Fullmind,$0.00,$0.00,$0.00,"$400,000",$0.00,,,
Everett School District,5302670,WA,Washington 2027,2027,Monica Sherwood,Fullmind,$0.00,$0.00,$0.00,"$150,000",$0.00,,,
Everman Independent School District,4818810,TX,Texas 2027,2027,Michelle Mirzoian,EK12,$0.00,$0.00,$0.00,"$22,088.00",$0.00,,,
Fairbanks North Star Borough School District,0200600,AK,Alaska 2027,2027,,EK12,$0.00,$0.00,"$66,088.00",$0.00,$0.00,,,
Fairfield County School District 01,4502100,SC,South Carolina 2027,2027,,EK12,$0.00,$0.00,"$30,880.00",$0.00,$0.00,,,
Fairfield Independent School District,4818940,TX,Texas 2027,2027,Lauren Kleist,EK12,"$23,260.00",$0.00,$0.00,$0.00,"$23,260.00",,,
Fargo 1 School District,3806780,ND,North Dakota 2027,2027,Hilly Kravitz,EK12,$0.00,$0.00,$0.00,"$15,000.00",$0.00,,,
Fayette County Public Schools,2101860,KY,Kentucky 2027,2027,Kris Tedesco,Fullmind,$0.00,$0.00,$0.00,$0.00,$0.00,,,
Fayette County Public Schools,4701170,TN,Tennessee 2027,2027,Melodie Blackwood,Fullmind,"$126,767.00",$0.00,$0.00,$0.00,"$50,000.00",,,
Feather River Academy,0602400,CA,California 2027,2027,Monica Sherwood,Fullmind,"$5,047.35","$35,000.00",$0.00,$0.00,"$40,000.00",,,
Ferguson-Florissant R-II School District,2912010,MO,Missouri 2027,2027,Jenn Russart,EK12,$0.00,$0.00,$0.00,"$15,000.00",$0.00,,,
Flinthills Unified School District 492,2011220,KS,Kansas 2027,2027,Phil Dugliss,EK12,"$31,000.00",$0.00,$0.00,$0.00,"$31,000.00",,,
FLORENCE DISTRICT 3,4502190,SC,South Carolina 2027,2027,,Fullmind,$0.00,$0.00,"$103,332.20","$52,800.00",$0.00,,,
Florida Union Free School District Schools,3625320,NY,New York 2027,2027,Kris Tedesco,Fullmind,$0.00,$0.00,$0.00,"$13,830.27",$0.00,,,
Flossmoor School District 161,1715420,IL,Illinois 2027,2027,Phil Dugliss,EK12,"$146,185.00",$0.00,$0.00,$0.00,"$93,005.00",,,
Folsom-Cordova Unified School District,0613890,CA,California 2027,2027,,Fullmind,$0.00,$0.00,"$16,386.40",$0.00,$0.00,,,
Fonda-Fultonville School District,3611190,NY,New York 2027,2027,Melodie Blackwood,Fullmind,$0.00,$0.00,$0.00,$0.00,$0.00,,,
Fordham Leadership Academy,3600087,NY,New York 2027,2027,Brooke Fera,Fullmind,$0.00,$0.00,$0.00,"$250,000","$87,000.00",,,
Forest Park School District 91,1715450,IL,Illinois 2027,2027,Paul Timlin,EK12,$0.00,$0.00,$0.00,"$21,000.00",$0.00,,,
Forrest City School District,0506270,AR,Arkansas 2027,2027,Melodie Blackwood,Fullmind,$0.00,$0.00,$0.00,"$58,000.00",$0.00,,,
Fort Worth ISD,4819700,TX,Texas 2027,2027,Melodie Blackwood,Fullmind,$0.00,$0.00,$0.00,"$160,000",$0.00,,,
Framingham Public Schools,2504980,MA,Massachusettes 2027,2027,Kris Tedesco,Fullmind,$0.00,$0.00,$0.00,"$250,000.00",$0.00,,,
Frankfort-Schuyler Central School District,3611400,NY,New York 2027,2027,Nakeia Jones,EK12,$0.00,$0.00,$0.00,"$48,409.88",$0.00,,,
Frankston Independent School District,4819770,TX,Texas 2027,2027,Connor Watts,EK12,$0.00,$0.00,$0.00,"$28,000.00",$0.00,,,
Fredericksburg Independent School District,4819840,TX,Texas 2027,2027,,EK12,$0.00,$0.00,"$30,480.00",$0.00,$0.00,,,
Freeport School District,3611550,NY,New York 2027,2027,Brooke Fera,Fullmind,$0.00,$0.00,$0.00,"$40,500.00",$0.00,,,
Freer Independent School District,4819820,TX,Texas 2027,2027,,Fullmind,$0.00,$0.00,"$30,000.00","$26,800.00",$0.00,,,
Fremont-Mills Community School District,1912120,IA,Iowa 2027,2027,Liz Winnen,EK12,$0.00,$0.00,$0.00,"$28,224.00",$0.00,,,
Gadsden County Public Schools,1200600,FL,Florida 2027,2027,La'Nita Johnson,EK12,$0.00,$0.00,$0.00,"$29,760.00",$0.00,,,
Gallup McKinley County Schools,3501110,NM,New Mexico 2027,2027,Melodie Blackwood,Fullmind,$0.00,$0.00,$0.00,"$100,000",$0.00,,,
Garfield School District,3405760,NJ,New Jersey 2027,2027,,EK12,$0.00,$0.00,"$53,840.00",$0.00,$0.00,,,
Garfield School District No. Re-2,0806240,CO,Colorado 2027,2027,Hilly Kravitz,EK12,$0.00,$0.00,$0.00,"$280,000.00",$0.00,,,
Gary Community School Corporation,1803870,IN,Indiana 2027,2027,Connie Bowman,EK12,$0.00,$0.00,$0.00,"$12,000.00",$0.00,,,
Geneva City School District,3611970,NY,New York 2027,2027,,Fullmind,$0.00,$0.00,"$38,709.60","$26,730.00",$0.00,,,
Geo Focus Academy,1800219,IN,Indiana 2027,2027,,EK12,$0.00,$0.00,"$66,484.00",$0.00,$0.00,,,
George-Little Rock Community School District,1912480,IA,Iowa 2027,2027,Monica Davis,EK12,$0.00,$0.00,$0.00,"$13,956.00",$0.00,,,
Georgetown County School District,4502280,SC,South Carolina 2027,2027,,EK12,$0.00,$0.00,"$116,222.20",$0.00,$0.00,,,
Gilboa Conesville Central,3612120,NY,New York 2027,2027,Mike O'Donnell,Fullmind,$0.00,$0.00,$0.00,"$3,000.00",$0.00,,,
Gilchrist County Public Schools,1200630,FL,Florida 2027,2027,Ivan Krieg,EK12,$0.00,$0.00,$0.00,"$49,512.00",$0.00,,,
Giles County School District,4701410,TN,Tennessee 2027,2027,Paul Timlin,EK12,$0.00,$0.00,$0.00,"$12,600.00",$0.00,,,
GLADES ACADEMY CHARTER SCHOOL,1200660,FL,Florida 2027,2027,Lauren Kleist,EK12,$0.00,$0.00,$0.00,"$10,000.00","$10,000.00",,,
Glassboro School District,3405880,NJ,New Jersey 2027,2027,,EK12,$0.00,$0.00,"$19,000.00",$0.00,$0.00,,,
Glidden-Ralston Community School District,1912750,IA,Iowa 2027,2027,,EK12,$0.00,$0.00,"$33,036.00",$0.00,$0.00,,,
Globe Unified District,0403500,CA,California 2027,2027,Hayley Spira Bauer,Fullmind,$0.00,$0.00,$0.00,"$200,000.00","$200,000.00",,,
Golden Feather - VS,0615480,CA,California 2027,2027,Monica Sherwood,Fullmind,$0.00,$0.00,$0.00,"$17,288.86",$0.00,,,
Goochland County Public Schools,5101650,VA,Virginia 2027,2027,Connor Watts,EK12,$0.00,$0.00,$0.00,"$30,000.00",$0.00,,,
Goshen Central School District,3612330,NY,New York 2027,2027,Kris Tedesco,Fullmind,"$12,696.00","$5,826.41",$0.00,$0.00,"$15,000.00",,,
Gouverneur School District,3612360,NY,New York 2027,2027,Kris Tedesco,Fullmind,"$124,069.59",$0.00,$0.00,$0.00,"$100,000.00",,,
Grady County School District,1302460,GA,Georgia 2027,2027,Joy Panko,Fullmind,$0.00,$0.00,$0.00,"$64,000.00",$0.00,,,
Grand Island Public Schools,3100016,NE,Nebraska 2027,2027,Tony,Fullmind,$0.00,$0.00,$0.00,"$120,000",$0.00,,,
Grand Rapids Public Schools,2616440,MI,Michicagn 2027,2027,,EK12,$0.00,$0.00,"$463,468.00",$0.00,$0.00,,,
Granville County Schools,3701800,NC,North Carolina 2027,2027,,EK12,$0.00,$0.00,"$134,001.30","$32,000.00",$0.00,,,
Grayslake Community Consolidated School District 46,1717520,IL,Illinois 2027,2027,Mike O'Donnell,Fullmind,"$4,940.00",$0.00,$0.00,$0.00,$0.00,,,
Great Oaks Charter School,3400751,NJ,New Jersey 2027,2027,Brooke Fera,Fullmind,$0.00,$0.00,$0.00,"$28,000.00",$0.00,,,
Greater Egg Harbor Regional School District,3406060,NJ,New Jersey 2027,2027,Patricia Kiedrow,EK12,$0.00,$0.00,$0.00,"$5,000.00","$5,000.00",,,
Greater Johnstown,3615980,NY,New York 2027,2027,Kris Tedesco,Fullmind,$0.00,$0.00,$0.00,"$3,600.00",$0.00,,,
Greece Central School District,3612630,NY,New York 2027,2027,Mike O'Donnell,Fullmind,"$246,784.00",$0.00,$0.00,$0.00,"$275,000.00",,,"$30,000,000"
Green Island Union Free School District,3612660,NY,New York 2027,2027,Rachel Reynoso,Fullmind,$0.00,$0.00,$0.00,$0.00,$0.00,,,
Greene Central School District,3612750,NY,New York 2027,2027,Mike O'Donnell,Fullmind,$0.00,$0.00,$0.00,"$9,900.00",$0.00,,,
Greene County Technical School District,0513080,AR,Arkansas 2027,2027,David Downs,EK12,$0.00,$0.00,$0.00,"$10,440.00",$0.00,,,
Gwinnett County Public Schools,1302550,GA,Georgia 2027,2027,,Fullmind,$0.00,$0.00,"$51,260.40","$30,000.00",$0.00,,,
Hagerman Municipal Schools,3501200,NM,New Mexico 2027,2027,Paul Sheffield,Fullmind,$0.00,$0.00,$0.00,"$75,334.20",$0.00,,,
Hale County Schools,0101710,AL,Alabama 2027,2027,David Downs,EK12,$0.00,$0.00,$0.00,"$41,048.00",$0.00,,,
Haledon School District,3406450,NJ,New Jersey 2027,2027,Phil Dugliss,EK12,$0.00,$0.00,$0.00,"$10,644.00",$0.00,,,
Hamilton County School District,4701590,TN,Tennessee 2027,2027,Paul Timlin,EK12,$0.00,$0.00,$0.00,"$15,000.00",$0.00,,,
Hamilton School District #3,3013260,MT,Montana 2027,2027,Monica Sherwood,Fullmind,$0.00,$0.00,$0.00,"$150,000",$0.00,,,
Hampton County School District 02,4503912,SC,South Carolina 2027,2027,Melodie Blackwood,Fullmind,$0.00,$0.00,$0.00,"$196,488.00",$0.00,,,
Hamtramck Public Schools,2617520,MI,Michicagn 2027,2027,Phil Dugliss,EK12,$0.00,$0.00,$0.00,"$31,000.00",$0.00,,,
Hannibal 60 School District,2913650,MO,Missouri 2027,2027,Nora Navarro,EK12,$0.00,$0.00,$0.00,"$45,000.00","$45,000.00",,,
Hanover Community School Corporation,1804350,IN,Indiana 2027,2027,Mike O'Donnell,Fullmind,$0.00,$0.00,$0.00,"$9,870.00",$0.00,,,
Hanover-Horton Schools,2617640,MI,Michicagn 2027,2027,,EK12,$0.00,$0.00,"$37,200.00",$0.00,$0.00,,,
Harborfields School District,3613620,NY,New York 2027,2027,Rachel Reynoso,Fullmind,"$5,214.00",$0.00,$0.00,$0.00,$0.00,,,
Hardin County Schools,2102490,KY,Kentucky 2027,2027,Kris Tedesco,Fullmind,$0.00,$0.00,$0.00,$0.00,$0.00,,,
Hardin Elementary Schools,3013310,MT,Montana 2027,2027,Monica Sherwood,Fullmind,$0.00,$0.00,$0.00,"$150,000",$0.00,,,
Harnett County Schools,3702010,NC,North Carolina 2027,2027,,EK12,$0.00,$0.00,"$17,904.00",$0.00,$0.00,,,
Hart Public School District,2617860,MI,Michicagn 2027,2027,Phil Dugliss,EK12,"$17,900.00",$0.00,$0.00,$0.00,"$17,900.00",,,
Hartford J1 School District,5506090,WI,Wisconsin 2027,2027,,EK12,$0.00,$0.00,"$18,608.00",$0.00,$0.00,,,
Harvey School District 152,1718450,IL,Illinois 2027,2027,Paul Timlin,EK12,$0.00,$0.00,$0.00,"$12,960.00",$0.00,,,
Hastings Public Schools,3171580,NE,Nebraska 2027,2027,Joy Panko,Fullmind,$0.00,$0.00,$0.00,"$45,000.00",$0.00,,,
Hauppauge School District,3613980,NY,New York 2027,2027,Paul Sheffield,Fullmind,"$21,765.00",$0.00,$0.00,$0.00,"$46,000.00",,,
Hays Lodgepole Schools,3013660,MT,Montana 2027,2027,Steve Pines,Fullmind,$0.00,$0.00,$0.00,"$30,000.00",$0.00,,,
Hazelwood School District,2913830,MO,Missouri 2027,2027,Mike O'Donnell,Fullmind,$0.00,$0.00,$0.00,"$10,000.00",$0.00,,,
Health Sciences Charter School,3601022,NY,New York 2027,2027,Michele Charles,EK12,$0.00,$0.00,$0.00,"$12,087.00",$0.00,,,
