Account,Contract: NCES ID,Contract: Opportunity,LMS Opp ID,Contract: Contract Owner,Contract #,Subscription: Subscription #,Net Price,Quantity,Net Total,Product,Product Type,Sub Product,Course Name,Curriculum Provider,School (Account),Grade,Office Hours,CC/Teacher Collaboration Meetings,Start Date,Delivery End Date,Subscription: Created Date,Contract: Created Date
21St Century Charter School of Gary,180004602162,GEO21stCenturyCharterSchoolatGary_Tier1_Renewal_FY26,17592317686531,Lauren Kleist,509,SUB-0005591,"$12,401.15",-1,"-$12,401.15",61-75 min 3DaysStandard Full Year,Enrichment,"College, Career & Technology - CCT",ACT and SAT Prep (semester),Elevate Curriculum,21St Century Charter School of Gary,11,,,12/12/2025,5/29/2026,1/5/2026,7/28/2025
21St Century Charter School of Gary,180004602162,GEO21stCenturyCharterSchoolatGary_Tier1_Renewal_FY26,17592317686531,Lauren Kleist,509,SUB-0004265,"$12,401.15",4,"$49,604.60",61-75 min 3DaysStandard Full Year,Enrichment,"College, Career & Technology - CCT",ACT and SAT Prep (semester),Elevate Curriculum,21St Century Charter School of Gary,11,,,8/11/2025,5/29/2026,7/28/2025,7/28/2025
21St Century Charter School of Gary,180004602162,GEO21stCenturyCharterSchoolatGary_Tier1_Renewal_FY26,17592317686531,Lauren Kleist,509,SUB-0004264,"$12,401.15",4,"$49,604.60",61-75 min 3DaysStandard Full Year,Enrichment,"College, Career & Technology - CCT",ACT and SAT Prep (semester),Elevate Curriculum,21St Century Charter School of Gary,10,,,8/11/2025,5/29/2026,7/28/2025,7/28/2025
21St Century Charter School of Gary,180004602162,GEO21stCenturyCharterSchoolatGary_Tier1_Renewal_FY26,17592317686531,Lauren Kleist,509,SUB-0004263,"$12,401.15",4,"$49,604.60",61-75 min 3DaysStandard Full Year,Enrichment,"College, Career & Technology - CCT",ACT and SAT Prep (semester),Elevate Curriculum,21St Century Charter School of Gary,9,,,8/11/2025,5/29/2026,7/28/2025,7/28/2025
Acton-Boxborough Regional Schools,2501710,Acton-Boxborough Regional Schools_Tier 1_New Business_FY26,17592317690388,Phil Dugliss,577,SUB-0005831,"$6,962.03",1,"$6,962.03",45-60 min 5DaysStandard Semester,Tier 1,World Languages,Spanish II,Elevate Curriculum,Acton-Boxborough Regional High School,10,,,2/23/2026,6/18/2026,2/17/2026,2/13/2026
Acton-Boxborough Regional Schools,2501710,Acton-Boxborough Regional Schools_Tier 1_New Business_FY26,17592317690388,Phil Dugliss,577,SUB-0005830,"$6,962.03",1,"$6,962.03",45-60 min 5DaysStandard Semester,Tier 1,World Languages,Spanish I,Elevate Curriculum,Acton-Boxborough Regional High School,9,,,2/23/2026,6/26/2026,2/17/2026,2/13/2026
Acton-Boxborough Regional Schools,2501710,Acton-Boxborough Regional Schools_Tier 1_New Business_FY26,17592317690388,Phil Dugliss,577,SUB-0005789,"$6,962.00",1,"$6,962.00",45-60 min 5DaysStandard Semester,Tier 1,World Languages,Spanish II,Elevate Curriculum,Acton-Boxborough Regional High School,10,,,2/23/2026,6/18/2026,2/13/2026,2/13/2026
Acton-Boxborough Regional Schools,2501710,Acton-Boxborough Regional Schools_Tier 1_New Business_FY26,17592317690388,Phil Dugliss,577,SUB-0005788,"$6,962.00",1,"$6,962.00",45-60 min 5DaysStandard Semester,Tier 1,World Languages,Spanish II,Elevate Curriculum,Acton-Boxborough Regional High School,10,,,2/23/2026,6/18/2026,2/13/2026,2/13/2026
Acton-Boxborough Regional Schools,2501710,Acton-Boxborough Regional Schools_Tier 1_New Business_FY26,17592317690388,Phil Dugliss,577,SUB-0005787,"$6,962.00",1,"$6,962.00",45-60 min 5DaysStandard Semester,Tier 1,World Languages,Spanish I,Elevate Curriculum,Acton-Boxborough Regional High School,9,,,2/23/2026,6/26/2026,2/13/2026,2/13/2026
Aldine Independent School District,4807710,Aldine ISD_Tier 1_Renewal_FY26,17592317685786,Liz Winnen,476,SUB-0005156,"$9,816.66",2,"$19,633.32",45-60 min 5DaysStandard Full Year,Tier 1,Core Subjects - ELA,ELA 10,HMH: Into Literature,Knippel Education Center,10,,2,11/12/2025,5/22/2026,10/23/2025,6/25/2025
Aldine Independent School District,4807710,Aldine ISD_Tier 1_Renewal_FY26,17592317685786,Liz Winnen,476,SUB-0005154,"$9,816.66",2,"$19,633.32",45-60 min 5DaysStandard Full Year,Tier 1,Core Subjects - ELA,ELA 12 World Literature,Open Up Resources: Odell High School Literacy,Knippel Education Center,12,,2,11/12/2025,5/22/2026,10/23/2025,6/25/2025
Aldine Independent School District,4807710,Aldine ISD_Tier 1_Renewal_FY26,17592317685786,Liz Winnen,476,SUB-0005152,"$9,816.66",4,"$39,266.64",45-60 min 5DaysStandard Full Year,Tier 1,Core Subjects - Math,Math 7,Carnegie: Math Solutions,Knippel Education Center,7,,4,11/12/2025,5/22/2026,10/23/2025,6/25/2025
Aldine Independent School District,4807710,Aldine ISD_Tier 1_Renewal_FY26,17592317685786,Liz Winnen,476,SUB-0004727,"$11,960.50",6,"$71,763.00",61-75 min 3DaysStandard Full Year,Tier 1,World Languages,Spanish I,Other District Curriculum,Nimitz Ninth Grade School,9,,1,9/4/2025,6/15/2026,8/14/2025,6/25/2025
Aldine Independent School District,4807710,Aldine ISD_Tier 1_Renewal_FY26,17592317685786,Liz Winnen,476,SUB-0005673,"$6,906.50",1,"$6,906.50",61-75 min 3DaysStandard Semester,Tier 1,World Languages,Spanish IV,AP College Board,Aldine Young Women's Leadership Academy,12,,,2/5/2026,5/28/2026,1/27/2026,6/25/2025
Aldine Independent School District,4807710,Aldine ISD_Tier 1_Renewal_FY26,17592317685786,Liz Winnen,476,SUB-0005672,"$6,906.50",2,"$13,813.00",61-75 min 3DaysStandard Semester,Tier 1,World Languages,Spanish II,One Way Education,Aldine Young Women's Leadership Academy,10,,,2/5/2026,5/28/2026,1/27/2026,6/25/2025
Aldine Independent School District,4807710,Aldine ISD_Tier 1_Renewal_FY26,17592317685786,Liz Winnen,476,SUB-0005671,"$6,906.50",2,"$13,813.00",61-75 min 3DaysStandard Semester,Tier 1,World Languages,Spanish I,One Way Education,Aldine Young Women's Leadership Academy,9,,,2/5/2026,5/28/2026,1/27/2026,6/25/2025
Aldine Independent School District,4807710,Aldine ISD_Tier 1_Renewal_FY26,17592317685786,Liz Winnen,476,SUB-0005669,"$6,906.50",2,"$13,813.00",61-75 min 3DaysStandard Semester,Tier 1,World Languages,Spanish II,One Way Education,Aldine Young Women's Leadership Academy,9,,2,2/5/2026,5/28/2026,1/27/2026,6/25/2025
Aldine Independent School District,4807710,Aldine ISD_Tier 1_Renewal_FY26,17592317685786,Liz Winnen,476,SUB-0004188,"$11,962.09",6,"$71,772.54",76-90 min 3DaysStandard Full Year,Tier 1,Core Subjects - Math,Geometry,Carnegie: Math Solutions,Aldine High School,10,,1,8/15/2025,6/4/2026,7/22/2025,6/25/2025
Aldine Independent School District,4807710,Aldine ISD_Tier 1_Renewal_FY26,17592317685786,Liz Winnen,476,SUB-0005168,"$22,871.25",1,"$22,871.25",76-90 min 5DaysDiverse Full Year,Diverse Learning,SDI Core,Adapted Math 8,Carnegie: Math Solutions,Lewis Middle School,8,,36,11/12/2025,5/29/2026,10/23/2025,6/25/2025
Aldine Independent School District,4807710,Aldine ISD_Tier 1_Renewal_FY26,17592317685786,Liz Winnen,476,SUB-0005166,"$22,871.25",1,"$22,871.25",76-90 min 5DaysDiverse Full Year,Diverse Learning,SDI Core,Adapted Math 7,Carnegie: Math Solutions,Lewis Middle School,7,,36,11/12/2025,5/29/2026,10/23/2025,6/25/2025
Aldine Independent School District,4807710,Aldine ISD_Tier 1_Renewal_FY26,17592317685786,Liz Winnen,476,SUB-0005164,"$22,871.25",1,"$22,871.25",76-90 min 5DaysDiverse Full Year,Diverse Learning,SDI Core,Adapted Math 6,Carnegie: Math Solutions,Lewis Middle School,6,,36,11/12/2025,5/29/2026,10/23/2025,6/25/2025
Aldine Independent School District,4807710,Aldine ISD_Tier 1_Renewal_FY26,17592317685786,Liz Winnen,476,SUB-0005162,"$22,871.25",1,"$22,871.25",76-90 min 5DaysDiverse Full Year,Diverse Learning,SDI Core,Adapted ELA 8,HMH: Read 180,Lewis Middle School,8,,36,11/12/2025,5/29/2026,10/23/2025,6/25/2025
Aldine Independent School District,4807710,Aldine ISD_Tier 1_Renewal_FY26,17592317685786,Liz Winnen,476,SUB-0005160,"$22,871.25",1,"$22,871.25",76-90 min 5DaysDiverse Full Year,Diverse Learning,SDI Core,Adapted ELA 7,HMH: Read 180,Lewis Middle School,7,,36,11/12/2025,5/29/2026,10/23/2025,6/25/2025
Aldine Independent School District,4807710,Aldine ISD_Tier 1_Renewal_FY26,17592317685786,Liz Winnen,476,SUB-0005158,"$22,871.25",1,"$22,871.25",76-90 min 5DaysDiverse Full Year,Diverse Learning,SDI Core,Adapted ELA 6,HMH: Read 180,Lewis Middle School,6,,36,11/12/2025,5/29/2026,10/23/2025,6/25/2025
Aldine Independent School District,4807710,Aldine ISD_Tier 1_Renewal_FY26,17592317685786,Liz Winnen,476,SUB-0004761,"$30,495.00",1,"$30,495.00",76-90 min 5DaysDiverse Full Year,Diverse Learning,SDI Core,Adapted Math 8,Carnegie: Math Solutions,Mead Middle School,8,,,9/2/2025,6/18/2026,8/18/2025,6/25/2025
Aldine Independent School District,4807710,Aldine ISD_Tier 1_Renewal_FY26,17592317685786,Liz Winnen,476,SUB-0004760,"$30,495.00",1,"$30,495.00",76-90 min 5DaysDiverse Full Year,Diverse Learning,SDI Core,Adapted Math 7,Carnegie: Math Solutions,Mead Middle School,7,,,9/2/2025,6/18/2026,8/18/2025,6/25/2025
Aldine Independent School District,4807710,Aldine ISD_Tier 1_Renewal_FY26,17592317685786,Liz Winnen,476,SUB-0004758,"$30,495.00",1,"$30,495.00",76-90 min 5DaysDiverse Full Year,Diverse Learning,SDI Core,Adapted Math 6,Carnegie: Math Solutions,Mead Middle School,6,,36,9/2/2025,6/18/2026,8/18/2025,6/25/2025
Aldine Independent School District,4807710,Aldine ISD_Tier 1_Renewal_FY26,17592317685786,Liz Winnen,476,SUB-0004736,"$30,495.00",1,"$30,495.00",76-90 min 5DaysDiverse Full Year,Diverse Learning,SDI Core,Adapted Math 8,Carnegie: Math Solutions,Hoffman Middle School,8,,,8/22/2025,6/10/2026,8/14/2025,6/25/2025
Aldine Independent School District,4807710,Aldine ISD_Tier 1_Renewal_FY26,17592317685786,Liz Winnen,476,SUB-0004735,"$30,495.00",1,"$30,495.00",76-90 min 5DaysDiverse Full Year,Diverse Learning,SDI Core,Adapted Math 7,Carnegie: Math Solutions,Hoffman Middle School,7,,,8/22/2025,6/10/2026,8/14/2025,6/25/2025
Aldine Independent School District,4807710,Aldine ISD_Tier 1_Renewal_FY26,17592317685786,Liz Winnen,476,SUB-0004734,"$30,495.00",1,"$30,495.00",76-90 min 5DaysDiverse Full Year,Diverse Learning,SDI Core,Adapted ELA 7,HMH: Read 180,Hoffman Middle School,7,,,8/22/2025,6/10/2026,8/14/2025,6/25/2025
Aldine Independent School District,4807710,Aldine ISD_Tier 1_Renewal_FY26,17592317685786,Liz Winnen,476,SUB-0004732,"$30,495.00",1,"$30,495.00",76-90 min 5DaysDiverse Full Year,Diverse Learning,SDI Core,Adapted Math 6,Carnegie: Math Solutions,Hoffman Middle School,6,,36,8/22/2025,6/10/2026,8/14/2025,6/25/2025
Aldine Independent School District,4807710,Aldine ISD_Tier 1_Renewal_FY26,17592317685786,Liz Winnen,476,SUB-0004731,"$30,495.00",1,"$30,495.00",76-90 min 5DaysDiverse Full Year,Diverse Learning,SDI Core,Adapted ELA 8,HMH: Read 180,Hoffman Middle School,8,,,8/22/2025,6/10/2026,8/14/2025,6/25/2025
Aldine Independent School District,4807710,Aldine ISD_Tier 1_Renewal_FY26,17592317685786,Liz Winnen,476,SUB-0004729,"$30,495.00",1,"$30,495.00",76-90 min 5DaysDiverse Full Year,Diverse Learning,SDI Core,Adapted ELA 6,HMH: Read 180,Hoffman Middle School,6,,36,8/22/2025,6/10/2026,8/14/2025,6/25/2025
Aldine Independent School District,4807710,Aldine ISD_Tier 1_Renewal_FY26,17592317685786,Liz Winnen,476,SUB-0003987,"$30,495.00",1,"$30,495.00",76-90 min 5DaysDiverse Full Year,Diverse Learning,SDI Core,Adapted Math 6,Carnegie: Math Solutions,Stovall Middle School,6,36,36,8/11/2025,5/31/2026,7/7/2025,6/25/2025
Aldine Independent School District,4807710,Aldine ISD_Tier 1_Renewal_FY26,17592317685786,Liz Winnen,476,SUB-0003986,"$30,495.00",1,"$30,495.00",76-90 min 5DaysDiverse Full Year,Diverse Learning,SDI Core,Adapted Math 7,Carnegie: Math Solutions,Stovall Middle School,7,,,8/11/2025,5/31/2026,7/7/2025,6/25/2025
Aldine Independent School District,4807710,Aldine ISD_Tier 1_Renewal_FY26,17592317685786,Liz Winnen,476,SUB-0003985,"$30,495.00",1,"$30,495.00",76-90 min 5DaysDiverse Full Year,Diverse Learning,SDI Core,Adapted Math 8,Carnegie: Math Solutions,Stovall Middle School,8,,,8/11/2025,5/31/2026,7/7/2025,6/25/2025
Aldine Independent School District,4807710,Aldine ISD_Tier 1_Renewal_FY26,17592317685786,Liz Winnen,476,SUB-0003984,"$30,495.00",1,"$30,495.00",76-90 min 5DaysDiverse Full Year,Diverse Learning,SDI Core,Adapted Math 8,Carnegie: Math Solutions,Grantham Academy,8,,,8/11/2025,5/31/2026,7/7/2025,6/25/2025
Aldine Independent School District,4807710,Aldine ISD_Tier 1_Renewal_FY26,17592317685786,Liz Winnen,476,SUB-0003983,"$30,495.00",1,"$30,495.00",76-90 min 5DaysDiverse Full Year,Diverse Learning,SDI Core,Adapted Math 7,Carnegie: Math Solutions,Grantham Academy,7,,,8/11/2025,5/31/2026,7/7/2025,6/25/2025
Aldine Independent School District,4807710,Aldine ISD_Tier 1_Renewal_FY26,17592317685786,Liz Winnen,476,SUB-0003980,"$30,495.00",1,"$30,495.00",76-90 min 5DaysDiverse Full Year,Diverse Learning,SDI Core,Adapted Math 6,Carnegie: Math Solutions,Grantham Academy,6,36,36,8/11/2025,5/31/2026,7/7/2025,6/25/2025
Aldine Independent School District,4807710,Aldine ISD_Tier 1_Renewal_FY26,17592317685786,Liz Winnen,476,SUB-0003979,"$30,495.00",1,"$30,495.00",76-90 min 5DaysDiverse Full Year,Diverse Learning,SDI Core,Adapted ELA 7,HMH: Read 180,Aldine Middle School,7,,,8/11/2025,6/1/2026,7/7/2025,6/25/2025
Aldine Independent School District,4807710,Aldine ISD_Tier 1_Renewal_FY26,17592317685786,Liz Winnen,476,SUB-0003977,"$30,495.00",1,"$30,495.00",76-90 min 5DaysDiverse Full Year,Diverse Learning,SDI Core,Adapted ELA 6,HMH: Read 180,Aldine Middle School,6,,36,8/11/2025,6/1/2026,7/7/2025,6/25/2025
Aldine Independent School District,4807710,Aldine ISD_Tier 1_Renewal_FY26,17592317685786,Liz Winnen,476,SUB-0003976,"$30,495.00",1,"$30,495.00",76-90 min 5DaysDiverse Full Year,Diverse Learning,SDI Core,Adapted Math 8,Carnegie: Math Solutions,Aldine Middle School,8,,,8/11/2025,6/1/2026,7/7/2025,6/25/2025
Aldine Independent School District,4807710,Aldine ISD_Tier 1_Renewal_FY26,17592317685786,Liz Winnen,476,SUB-0003975,"$30,495.00",1,"$30,495.00",76-90 min 5DaysDiverse Full Year,Diverse Learning,SDI Core,Adapted Math 7,Carnegie: Math Solutions,Aldine Middle School,7,,,8/11/2025,6/1/2026,7/7/2025,6/25/2025
Aldine Independent School District,4807710,Aldine ISD_Tier 1_Renewal_FY26,17592317685786,Liz Winnen,476,SUB-0003973,"$30,495.00",1,"$30,495.00",76-90 min 5DaysDiverse Full Year,Diverse Learning,SDI Core,Adapted Math 6,Carnegie: Math Solutions,Aldine Middle School,6,,36,8/11/2025,6/1/2026,7/7/2025,6/25/2025
Aldine Independent School District,4807710,Aldine ISD_Tier 1_Renewal_FY26,17592317685786,Liz Winnen,476,SUB-0003972,"$30,495.00",1,"$30,495.00",76-90 min 5DaysDiverse Full Year,Diverse Learning,SDI Core,Adapted ELA 8,HMH: Read 180,Aldine Middle School,8,,,8/11/2025,6/1/2026,7/7/2025,6/25/2025
Aldine Independent School District,4807710,Aldine ISD_Tier 1_Renewal_FY26,17592317685786,Liz Winnen,476,SUB-0005157,"$1,140.00",2,"$2,280.00",CC/Teacher Collaboration Meetings - Full Year,Teacher Collaberation Meetings,Full Year,,,,,,,10/15/2025,,10/23/2025,6/25/2025
Aldine Independent School District,4807710,Aldine ISD_Tier 1_Renewal_FY26,17592317685786,Liz Winnen,476,SUB-0005155,"$1,140.00",2,"$2,280.00",CC/Teacher Collaboration Meetings - Full Year,Teacher Collaberation Meetings,Full Year,,,,,,,10/15/2025,,10/23/2025,6/25/2025
Aldine Independent School District,4807710,Aldine ISD_Tier 1_Renewal_FY26,17592317685786,Liz Winnen,476,SUB-0005153,"$1,140.00",4,"$4,560.00",CC/Teacher Collaboration Meetings - Full Year,Teacher Collaberation Meetings,Full Year,,,,,,,10/15/2025,,10/23/2025,6/25/2025
Aldine Independent School District,4807710,Aldine ISD_Tier 1_Renewal_FY26,17592317685786,Liz Winnen,476,SUB-0004728,"$1,710.00",1,"$1,710.00",CC/Teacher Collaboration Meetings - Full Year,Teacher Collaberation Meetings,Full Year,,,,,,,8/13/2025,,8/14/2025,6/25/2025
Aldine Independent School District,4807710,Aldine ISD_Tier 1_Renewal_FY26,17592317685786,Liz Winnen,476,SUB-0004189,"$1,710.00",1,"$1,710.00",CC/Teacher Collaboration Meetings - Full Year,Teacher Collaberation Meetings,Full Year,,,,,,,8/11/2025,,7/22/2025,6/25/2025
Aldine Independent School District,4807710,Aldine ISD_Tier 1_Renewal_FY26,17592317685786,Liz Winnen,476,SUB-0005670,$855.00,1.5,"$1,282.50",CC/Teacher Collaboration Meetings - Semester,Teacher Collaberation Meetings,Semester,,,,,,,1/22/2026,,1/27/2026,6/25/2025
Aldine Independent School District,4807710,Aldine ISD_Tier 1_Renewal_FY26,17592317685786,Liz Winnen,476,SUB-0003988,$47.50,36,"$1,710.00",Student Office Hours,Student Office Hours,,,,,,,,8/11/2025,,7/7/2025,6/25/2025
Aldine Independent School District,4807710,Aldine ISD_Tier 1_Renewal_FY26,17592317685786,Liz Winnen,476,SUB-0003981,$47.50,36,"$1,710.00",Student Office Hours,Student Office Hours,,,,,,,,8/11/2025,,7/7/2025,6/25/2025
Aldine Independent School District,4807710,Aldine ISD_Tier 1_Renewal_FY26,17592317685786,Liz Winnen,476,SUB-0005169,$35.63,36,"$1,282.68",Teacher Collaboration Hours,Teacher Collaboration Hours,,,,,,,,10/15/2025,,10/23/2025,6/25/2025
Aldine Independent School District,4807710,Aldine ISD_Tier 1_Renewal_FY26,17592317685786,Liz Winnen,476,SUB-0005167,$35.63,36,"$1,282.68",Teacher Collaboration Hours,Teacher Collaboration Hours,,,,,,,,10/15/2025,,10/23/2025,6/25/2025
Aldine Independent School District,4807710,Aldine ISD_Tier 1_Renewal_FY26,17592317685786,Liz Winnen,476,SUB-0005165,$35.63,36,"$1,282.68",Teacher Collaboration Hours,Teacher Collaboration Hours,,,,,,,,10/15/2025,,10/23/2025,6/25/2025
Aldine Independent School District,4807710,Aldine ISD_Tier 1_Renewal_FY26,17592317685786,Liz Winnen,476,SUB-0005163,$35.63,36,"$1,282.68",Teacher Collaboration Hours,Teacher Collaboration Hours,,,,,,,,10/15/2025,,10/23/2025,6/25/2025
Aldine Independent School District,4807710,Aldine ISD_Tier 1_Renewal_FY26,17592317685786,Liz Winnen,476,SUB-0005161,$35.63,36,"$1,282.68",Teacher Collaboration Hours,Teacher Collaboration Hours,,,,,,,,10/15/2025,,10/23/2025,6/25/2025
Aldine Independent School District,4807710,Aldine ISD_Tier 1_Renewal_FY26,17592317685786,Liz Winnen,476,SUB-0005159,$35.63,36,"$1,282.68",Teacher Collaboration Hours,Teacher Collaboration Hours,,,,,,,,10/15/2025,,10/23/2025,6/25/2025
Aldine Independent School District,4807710,Aldine ISD_Tier 1_Renewal_FY26,17592317685786,Liz Winnen,476,SUB-0004759,$47.50,36,"$1,710.00",Teacher Collaboration Hours,Teacher Collaboration Hours,,,,,,,,8/18/2025,,8/18/2025,6/25/2025
Aldine Independent School District,4807710,Aldine ISD_Tier 1_Renewal_FY26,17592317685786,Liz Winnen,476,SUB-0004733,$47.50,36,"$1,710.00",Teacher Collaboration Hours,Teacher Collaboration Hours,,,,,,,,8/13/2025,,8/14/2025,6/25/2025
Aldine Independent School District,4807710,Aldine ISD_Tier 1_Renewal_FY26,17592317685786,Liz Winnen,476,SUB-0004730,$47.50,36,"$1,710.00",Teacher Collaboration Hours,Teacher Collaboration Hours,,,,,,,,8/13/2025,,8/14/2025,6/25/2025
Aldine Independent School District,4807710,Aldine ISD_Tier 1_Renewal_FY26,17592317685786,Liz Winnen,476,SUB-0003989,$47.50,36,"$1,710.00",Teacher Collaboration Hours,Teacher Collaboration Hours,,,,,,,,8/11/2025,,7/7/2025,6/25/2025
Aldine Independent School District,4807710,Aldine ISD_Tier 1_Renewal_FY26,17592317685786,Liz Winnen,476,SUB-0003982,$47.50,36,"$1,710.00",Teacher Collaboration Hours,Teacher Collaboration Hours,,,,,,,,8/11/2025,,7/7/2025,6/25/2025
Aldine Independent School District,4807710,Aldine ISD_Tier 1_Renewal_FY26,17592317685786,Liz Winnen,476,SUB-0003978,$47.50,36,"$1,710.00",Teacher Collaboration Hours,Teacher Collaboration Hours,,,,,,,,8/11/2025,,7/7/2025,6/25/2025
Aldine Independent School District,4807710,Aldine ISD_Tier 1_Renewal_FY26,17592317685786,Liz Winnen,476,SUB-0003974,$47.50,36,"$1,710.00",Teacher Collaboration Hours,Teacher Collaboration Hours,,,,,,,,8/11/2025,,7/7/2025,6/25/2025
Argyle School District,5500450,Argyle School District_Tier1_New Business_FY26,17592317693098,Phil Dugliss,440,SUB-0003692,"$3,357.00",1,"$3,357.00",30 - 44 mins 5 Days Standard Interim,Tier 1,World Languages,Spanish 1A,Elevate Curriculum,Argyle High School,7,,,3/23/2026,5/28/2026,5/16/2025,5/16/2025
Argyle School District,5500450,Argyle School District_Tier1_New Business_FY26,17592317693098,Phil Dugliss,440,SUB-0003691,"$3,357.00",1,"$3,357.00",30 - 44 mins 5 Days Standard Interim,Tier 1,World Languages,Spanish 1A,Elevate Curriculum,Argyle High School,7,,,1/19/2026,3/19/2026,5/16/2025,5/16/2025
Argyle School District,5500450,Argyle School District_Tier1_New Business_FY26,17592317693098,Phil Dugliss,440,SUB-0003690,"$3,357.00",1,"$3,357.00",30 - 44 mins 5 Days Standard Interim,Tier 1,World Languages,Spanish 1A,Elevate Curriculum,Argyle High School,7,,,11/3/2025,1/15/2026,5/16/2025,5/16/2025
Argyle School District,5500450,Argyle School District_Tier1_New Business_FY26,17592317693098,Phil Dugliss,440,SUB-0003689,"$15,500.00",1,"$15,500.00",45-60 min 5DaysStandard Full Year,Tier 1,World Languages,Spanish I,Elevate Curriculum,Argyle High School,9,,,9/2/2025,5/28/2026,5/16/2025,5/16/2025
Ascend Academy Charter High School,,Ascend Academy Charter High School_Tier I_Renewal_FY26,17592317688230,Lauren Kleist,530,SUB-0005288,"$12,850.50",-1,"-$12,850.50",45-60 min 4DaysStandard Full Year,Enrichment,Core Enrichment - Science,Anatomy & Physiology,Tailor Made Elevate Curriculum,Ascend Academy Charter High School,11,,,11/10/2025,6/12/2026,11/17/2025,8/8/2025
Ascend Academy Charter High School,,Ascend Academy Charter High School_Tier I_Renewal_FY26,17592317688230,Lauren Kleist,530,SUB-0005287,"$12,850.50",-1,"-$12,850.50",45-60 min 4DaysStandard Full Year,Enrichment,"College, Career & Technology - CCT",Computer Science (CodeHS),CodeHS,Ascend Academy Charter High School,11,,,11/10/2025,6/12/2026,11/17/2025,8/8/2025
Ascend Academy Charter High School,,Ascend Academy Charter High School_Tier I_Renewal_FY26,17592317688230,Lauren Kleist,530,SUB-0004548,"$12,850.50",2,"$25,701.00",45-60 min 4DaysStandard Full Year,Enrichment,Core Enrichment - Science,Anatomy & Physiology,Tailor Made Elevate Curriculum,Ascend Academy Charter High School,11,,,8/25/2025,6/12/2026,8/8/2025,8/8/2025
Ascend Academy Charter High School,,Ascend Academy Charter High School_Tier I_Renewal_FY26,17592317688230,Lauren Kleist,530,SUB-0004547,"$12,850.50",2,"$25,701.00",45-60 min 4DaysStandard Full Year,Enrichment,"College, Career & Technology - CCT",Computer Science (CodeHS),CodeHS,Ascend Academy Charter High School,11,,,8/25/2025,6/12/2026,8/8/2025,8/8/2025
Asheville City Schools,3700270,Asheville City Schools_Tier 1_New Business_FY26,17592317691765,Jenn Russart,563,SUB-0005882,"$5,172.00",2,"$10,344.00",45-60 min 5DaysStandard Interim,Tier 1,Core Subjects - Math,Integrated Math I (North Carolina),Elevate Curriculum,Asheville Middle School,9,,,3/19/2026,6/5/2026,3/5/2026,10/27/2025
Asheville City Schools,3700270,Asheville City Schools_Tier 1_New Business_FY26,17592317691765,Jenn Russart,563,SUB-0005881,"$5,172.00",2,"$10,344.00",45-60 min 5DaysStandard Interim,Tier 1,Core Subjects - Math,Math 8,Elevate Curriculum,Asheville Middle School,8,,,3/19/2026,6/5/2026,3/5/2026,10/27/2025
Bibb County School District,1300420,Bibb County School District_Tier 1_ Renewal_FY26,17592317685993,Jenn Russart,485,SUB-0005215,"$3,729.17",2,"$7,458.34",45-60 min 3DaysStandard Semester,Tier 1,Core Subjects - Science,Environmental Science,McGraw Hill: High School Science,Westside High School,12,,,1/20/2026,5/24/2026,11/3/2025,6/30/2025
Bibb County School District,1300420,Bibb County School District_Tier 1_ Renewal_FY26,17592317685993,Jenn Russart,485,SUB-0005214,"$3,729.17",2,"$7,458.34",45-60 min 3DaysStandard Semester,Tier 1,Core Subjects - Science,Environmental Science,McGraw Hill: High School Science,Westside High School,12,,,10/28/2025,3/1/2026,11/3/2025,6/30/2025
Bibb County School District,1300420,Bibb County School District_Tier 1_ Renewal_FY26,17592317685993,Jenn Russart,485,SUB-0005391,"$8,258.58",3,"$24,775.74",76-90 min 3DaysStandard Semester,Tier 1,World Languages,Spanish II,Elevate Curriculum,Southwest High School,12,,,1/6/2026,5/25/2026,11/21/2025,6/30/2025
Bibb County School District,1300420,Bibb County School District_Tier 1_ Renewal_FY26,17592317685993,Jenn Russart,485,SUB-0005337,"$8,730.00",2,"$17,460.00",76-90 min 3DaysStandard Semester,Tier 1,World Languages,Spanish II,Elevate Curriculum,Howard High School,12,1,1,1/6/2026,5/25/2026,11/20/2025,6/30/2025
Bibb County School District,1300420,Bibb County School District_Tier 1_ Renewal_FY26,17592317685993,Jenn Russart,485,SUB-0005334,"$8,730.00",4,"$34,920.00",76-90 min 3DaysStandard Semester,Tier 1,World Languages,Spanish I,Elevate Curriculum,Howard High School,12,1,1,1/6/2026,5/25/2026,11/20/2025,6/30/2025
Bibb County School District,1300420,Bibb County School District_Tier 1_ Renewal_FY26,17592317685993,Jenn Russart,485,SUB-0005213,"$5,595.83",5,"$27,979.15",76-90 min 3DaysStandard Semester,Diverse Learning,ELL Core - Science,Environmental Science,McGraw Hill: High School Science,Westside High School,12,,,1/20/2026,5/24/2026,11/3/2025,6/30/2025
Bibb County School District,1300420,Bibb County School District_Tier 1_ Renewal_FY26,17592317685993,Jenn Russart,485,SUB-0005212,"$5,595.83",5,"$27,979.15",76-90 min 3DaysStandard Semester,Diverse Learning,ELL Core - Science,Environmental Science,McGraw Hill: High School Science,Westside High School,12,,,10/28/2025,3/1/2026,11/3/2025,6/30/2025
