Agency NCES ID,Competitor,PO Number,PO Amount,Agency,Agency City,Agency State,PO Signed Date,Fiscal Year
101760,Educere,DT:11/01/2022 CHK:29853,"$1,479",Homewood City School District,Homewood,Alabama,11/01/2022,FY23
3402910,Educere,23A-1498,"$1,397",Central Regional School District,Bayville,New Jersey,11/01/2022,FY23
2613560,Educere,DT:11/01/2022 CHK:48973,"$2,617",Evart Public Schools,Evart,Michigan,11/01/2022,FY23
3415510,Educere,2302540,"$1,596",Sparta Township School District,Sparta,New Jersey,11/01/2022,FY23
3411160,Educere,23-01490,"$15,928",Neptune Township School District,Neptune Twp,New Jersey,10/31/2022,FY23
5508280,Educere,8022300202,"$1,621",Luck School District,Luck,Wisconsin,10/31/2022,FY23
3405310,Educere,2223-2067,"$19,950",Fort Lee Borough School District,Fort Lee,New Jersey,10/31/2022,FY23
3411970,Educere,PO:301049 DT:10/31/2022,"$9,485",Ocean City School District,Ocean City,New Jersey,10/31/2022,FY23
2511740,Educere,PO:20231290 INV:TritnMA2211,"$1,950",Triton School District,Byfield,Massachusetts,10/31/2022,FY23
5504290,Educere,8122300160,"$3,567",Elkhorn Area School District,Elkhorn,Wisconsin,10/31/2022,FY23
3904525,Educere,DT:10/31/2022 TRN:26024,"$3,444",Caldwell Exempted Village School District,Caldwell,Ohio,10/31/2022,FY23
2502670,Educere,2301132,"$2,594",Billerica School District,Billerica,Massachusetts,10/31/2022,FY23
5503840,Educere,4002300257,"$1,047",Durand School District,Durand,Wisconsin,10/28/2022,FY23
3405610,Educere,PO: 23-00087 CHK:517392,"$8,099",Freehold Regional School District,Englishtown,New Jersey,10/27/2022,FY23
3405610,Educere,PO: 23-00554 CHK:517392,"$8,247",Freehold Regional School District,Englishtown,New Jersey,10/27/2022,FY23
3415480,Educere,PO-23-0001216,"$3,460",Southern Regional School District,Manahawkin,New Jersey,10/27/2022,FY23
1704470,Educere,DT:10/26/2022 CHK:73201,"$4,998",Athens Community Unit School District 213,Athens,Illinois,10/26/2022,FY23
3404320,Educere,23-01871,"$20,000",East Windsor Regional School District,Hightstown,New Jersey,10/26/2022,FY23
3680940,Educere,23-02823,"$5,551",Washington-Saratoga-Warren-Hamilton-Essex Board of Cooperative Educational Services,Hudson Falls,New York,10/26/2022,FY23
3406390,Educere,PO-23-00941,"$1,999",Haddonfield Borough School District,Haddonfield,New Jersey,10/24/2022,FY23
1726760,Educere,Check# 63339,"$2,419",Morrisonville Community Unit School District 1,Morrisonville,Illinois,10/20/2022,FY23
4205190,Educere,32223120,"$80,000",Centennial School District,Warminster,Pennsylvania,10/19/2022,FY23
1723250,Educere,2208,"$2,187",Litchfield Community Unit School District 12,Litchfield,Illinois,10/18/2022,FY23
3409750,Educere,23-02694,"$1,188",Matawan-Aberdeen Regional School District,Aberdeen,New Jersey,10/17/2022,FY23
4205700,Educere,DT:10/13/2022 CHK:4541,"$2,745",Chartiers Valley School District,Pittsburgh,Pennsylvania,10/13/2022,FY23
,Educere,VEN:Educere DT:10/13/2022,"$36,434",Community Academy of Philadelphia Charter School,Sunrise Beach,Missouri,10/13/2022,FY23
2509030,Educere,230453,"$3,519",Norwell School District,Norwell,Massachusetts,10/11/2022,FY23
2509030,Educere,230474,"$2,246",Norwell School District,Norwell,Massachusetts,10/11/2022,FY23
4203330,Educere,230839,"$3,000",Bensalem Township School District,Bensalem,Pennsylvania,10/11/2022,FY23
1808010,Educere,VEN:EDUCERE LLC DT:10/10/2022,"$1,596",North Spencer County School Corporation,Lincoln City,Indiana,10/10/2022,FY23
3904939,Educere,67545,"$4,193",Pandora-Gilboa Local School District,Pandora,Ohio,10/06/2022,FY23
1807620,Educere,31370,"$1,197",Nineveh-Hensley-Jackson United School Corporation,Trafalgar,Indiana,10/05/2022,FY23
1739600,Educere,DT:10/03/2022 CHK:46229,"$9,152",Tuscola Community Unit School District 301,Tuscola,Illinois,10/03/2022,FY23
1739600,Educere,CHK:46229,"$9,152",Tuscola Community Unit School District 301,Tuscola,Illinois,10/03/2022,FY23
2613560,Educere,DT:10/01/2022 CHK:48859,"$8,729",Evart Public Schools,Evart,Michigan,10/01/2022,FY23
,Educere,421,"$3,313",Town of Georgetown,Georgetown,Massachusetts,09/30/2022,FY23
5503840,Educere,4002300163,"$11,872",Durand School District,Durand,Wisconsin,09/29/2022,FY23
3680620,Educere,A23-01371,"$5,454",Orange-Ulster Board of Cooperative Educational Services,Goshen,New York,09/28/2022,FY23
3406040,Educere,300463,"$1,400",Gloucester County Vocational-Technical School District,Sewell,New Jersey,09/28/2022,FY23
2502670,Educere,2300918,"$10,200",Billerica School District,Billerica,Massachusetts,09/28/2022,FY23
4218580,Educere,22001159,"$2,793",Penn-Delco School District,Aston,Pennsylvania,09/28/2022,FY23
4218580,Educere,22001158,"$1,197",Penn-Delco School District,Aston,Pennsylvania,09/28/2022,FY23
5505940,Educere,DT:09/27/2022 CHK:8302300027,"$26,987",Greenfield School District,Greenfield,Wisconsin,09/27/2022,FY23
5505940,Educere,DT:09/27/2022 CHK:8402300064,"$14,993",Greenfield School District,Greenfield,Wisconsin,09/27/2022,FY23
3904380,Educere,23006350,"$12,500",Columbus City School District,Columbus,Ohio,09/27/2022,FY23
4400660,Educere,230617,"$18,100",Narragansett School District,Narragansett,Rhode Island,09/27/2022,FY23
4223250,Educere,2300000294,"$9,995",Riverside School District,Taylor,Pennsylvania,09/26/2022,FY23
5500210,Educere,4000004170,"$1,596",Alma Center School District,Alma Center,Wisconsin,09/26/2022,FY23
3411970,Educere,PO:300792 DT:09/26/2022,"$2,544",Ocean City School District,Ocean City,New Jersey,09/26/2022,FY23
3680620,Educere,A23-01346,"$1,815",Orange-Ulster Board of Cooperative Educational Services,Goshen,New York,09/23/2022,FY23
3904981,Educere,DT:9/23/2022 TRN:21461,"$1,297",Russia Local School District,Russia,Ohio,09/23/2022,FY23
3408060,Educere,300516,"$3,039",Kittatinny Regional School District,Newton,New Jersey,09/23/2022,FY23
,Educere,DT:09/21/2022 CHK:39145,"$19,601",Lincoln Charter,Denver,North Carolina,09/21/2022,FY23
2511880,Educere,9.10E+07,"$12,044",Wachusett School District,Jefferson,Massachusetts,09/20/2022,FY23
2511880,Educere,91030163,"$12,044",Wachusett School District,Jefferson,Massachusetts,09/20/2022,FY23
1730630,Educere,DT:09/19/2022 CHK:105296,"$2,355",Pana Community Unit School District 8,Pana,Illinois,09/19/2022,FY23
1741070,Educere,VEN:23171 CHK:101621,"$12,020",Waterloo Community Unit School District 5,Waterloo,Illinois,09/19/2022,FY23
4205730,Educere,12948,"$6,025",Chartiers-Houston School District,Houston,Pennsylvania,09/19/2022,FY23
3413650,Educere,2301027,"$1,160",Randolph Township School District,Randolph,New Jersey,09/16/2022,FY23
900750,Educere,PO:230872 VEN:EDUCERE LLC-S-Corp DT:09/16/2022,"$1,000",Cheshire School District,Cheshire,Connecticut,09/16/2022,FY23
2507980,Educere,23-HS-057,"$1,292",Milton School District,Milton,Massachusetts,09/15/2022,FY23
2507980,Educere,VEN:80 DT:15-Sep-22,"$1,292",Milton School District,Milton,Massachusetts,09/15/2022,FY23
3415480,Educere,PO-23-0000774,"$3,120",Southern Regional School District,Manahawkin,New Jersey,09/15/2022,FY23
2510170,Educere,20230177,"$4,998",Rockland School District,Rockland,Massachusetts,09/15/2022,FY23
3413230,Educere,PO-23-0558,"$7,581",Plumsted Township School District,New Egypt,New Jersey,09/15/2022,FY23
4220580,Educere,2300000315,"$3,990",South Fayette Township School District,McDonald,Pennsylvania,09/14/2022,FY23
3413650,Educere,2301017,"$1,218",Randolph Township School District,Randolph,New Jersey,09/12/2022,FY23
4225230,Educere,BA175600,"$9,995",West Branch Area School District,Morrisdale,Pennsylvania,09/09/2022,FY23
5515390,Educere,PO: 9902310014 VEN:EDUCERE 000,"$3,998",Wabeno Area School District,Wabeno,Wisconsin,09/09/2022,FY23
2504410,Educere,176758,"$8,386",Duxbury School District,Duxbury,Massachusetts,09/09/2022,FY23
2505220,Educere,PO:421 VEN:20520 DT:09/09/2022,"$3,313",Georgetown School District,Georgetown,Massachusetts,09/09/2022,FY23
4223250,Educere,2300000281,"$39,980",Riverside School District,Taylor,Pennsylvania,09/08/2022,FY23
4219470,Educere,802300095,"$1,999",Colonial School District,Plymouth Meeting,Pennsylvania,09/07/2022,FY23
4218510,Educere,Z01212,"$11,381",Parkland School District,Allentown,Pennsylvania,09/07/2022,FY23
4222560,Educere,382223101,"$22,659",Spring-Ford Area School District,Royersford,Pennsylvania,09/06/2022,FY23
3409750,Educere,23-04459,"$2,790",Matawan-Aberdeen Regional School District,Aberdeen,New Jersey,09/01/2022,FY23
1730660,Educere,VEN:7186 CHK:48263,"$8,996",Panhandle Community Unit School District 2,Raymond,Illinois,09/01/2022,FY23
1716050,Educere,VEN:EDUCERE LLC DT:08/31/2022,"$10,162",Galena Unit School District 120,Galena,Illinois,08/31/2022,FY23
4200067,Educere,VEN:EDUCERE LLC DT:08/31/2022,"$3,694",Renaissance Academy Charter School,Phoenixville,Pennsylvania,08/31/2022,FY23
3416230,Educere,23-03188,"$1,092",Toms River Regional School District,Toms River,New Jersey,08/31/2022,FY23
3416230,Educere,23-03619,"$2,295",Toms River Regional School District,Toms River,New Jersey,08/31/2022,FY23
3417100,Educere,23-00755,"$1,397",Robbinsville Township School District,Robbinsville,New Jersey,08/31/2022,FY23
,Educere,23-0369,"$14,000",Cumberland County Vocational School,Vineland,New Jersey,08/29/2022,FY23
