"leaid","name","state_location","city_location","Official Domain JSON","Website","Job Board JSON","Job Board","External Platform"
"1737320","St. George Community Consolidated School District 258","IL","Bourbonnais","Response","sg258.org","Response","https://sg258.tedk12.com/hire/index.aspx","PowerSchool Applicant Tracking"
"2011220","Flinthills Unified School District 492","KS","Rosalia","Response","usd492.org","Response","https://jobs.educatekansas.org/inner.php?p=scripts/funct.employer.details&employerCode=cc52684aa206ca4&MapQuery=PO+Box+188++Rosalia%2C+KS+67132&trimText=2","Educate Kansas"
"2011250","Rose Hill Public Schools Unified School District 394","KS","Rose Hill","Response","usd394.com","Response","https://www.applitrack.com/usd394/onlineapp/default.aspx?all=1","Frontline"
"2011280","Pawnee Heights Unified School District 496","KS","Rozel","Response","phtigers.net","Response","https://www.applitrack.com/kasb/onlineapp/default.aspx?AppliTrackPostingSearch=location:%22Pawnee+Heights+USD+496%22","AppliTrack"
"1903360","Algona Community School District","IA","Algona","Response","algona.k12.ia.us","Response","https://algona.tedk12.com/hire/index.aspx","PowerSchool Applicant Tracking"
"1903390","Allamakee Community School District","IA","Waukon","Response","allamakee.k12.ia.us","Response","",
"1903570","Anamosa Community School District","IA","Anamosa","Response","anamosa.k12.ia.us","Response","https://www.applitrack.com/Anamosa/onlineapp/","AppliTrack"
"1903630","Andrew Community School District","IA","Andrew","Response","andrew.k12.ia.us","Response","https://www.andrew.k12.ia.us/live-feed?page_no=9",
"1903780","Ar-We-Va Community School District","IA","Westside","Response","ar-we-va.k12.ia.us","Response","https://iowa.schoolspring.com/","SchoolSpring"
"1906000","Calamus-Wheatland Community School District","IA","Wheatland","Response","cal-wheat.k12.ia.us","Response","https://iowa.schoolspring.com/","TeachIowa"
"1906060","Camanche Community School District","IA","Camanche","Response","camanche.k12.ia.us","Response","https://www.camanche.k12.ia.us/page/employment",
"1906240","Cardinal Community School District","IA","Eldon","Response","cardinalcomet.com","Response","https://ats5.atenterprise.powerschool.com/ats/job_board?COMPANY_ID=JA002638&REPRESENTATIVE_COMPANY_ID=JA003078","TeachIowa"
"1906270","Carlisle Community School District","IA","Carlisle","Response","carlislecsd.org","Response","https://www.applitrack.com/carlislecsd/onlineapp/","Frontline"
"1906330","Carroll Community School District","IA","Carroll","Response","carroll.k12.ia.us","Response","https://www.applitrack.com/carroll/onlineapp/default.aspx","Frontline"
"1906810","Central DeWitt Community School District","IA","De Witt","Response","cd-csd.org","Response","https://phlaptweb36.applitrack.com/cdcsd/onlineapp/","Frontline"
"1906840","Central Community School District","IA","Elkader","Response","central.k12.ia.us","Response","https://www.applitrack.com/centralcommunity/onlineapp/","Frontline"
"1918240","East Mills Community School District","IA","Hastings","Response","emschools.org","Response","https://www.k12jobspot.com/District/5279/Jobs","K12JobSpot"
"1918330","Manson Northwest Webster Community School District","IA","Manson","Response","manson-nw.k12.ia.us","Response","https://mansonnw.mysmarthire.com/","MySmartHire"
"1919800","Moulton-Udell Community School District","IA","Moulton","Response","moulton-udell.org","Response","https://www.k12jobspot.com/District/5300/Jobs","K12JobSpot"
"0100003","Maxwell AFB School District","AL","","Response","maxwellafbems.dodea.edu","Response","https://www.usajobs.gov/Search/Results?l=Maxwell%20Air%20Force%20Base%2C%20Alabama&a=AF0J&hp=public&p=1&r=25&","USAJobs.gov"
"1919860","Mount Ayr Community School District","IA","Mount Ayr","Response","mtayrschools.org","Response","https://www.mtayrschools.org/apps/pages/index.jsp?uREC_ID=1277322&type=d&pREC_ID=1527479",
"1919890","Mount Pleasant Community School District","IA","Mount Pleasant","Response","mtpcsd.org","Response","https://mtpcsd.mysmarthire.com/","My Smart Hire"
"1921600","Odebolt Arthur Battle Creek Ida Grove Community School District","IA","Ida Grove","Response","oabcig.org","Response","https://www.oabcig.org/page/careers",
"1921630","Oelwein Community School District","IA","Oelwein","Response","oelweinschools.com","Response","https://iowa.schoolspring.com/","SchoolSpring"
"1923190","Pocahontas Area Community School District","IA","Pocahontas","Response","pacsd.org","Response","https://www.k12jobspot.com/District/5338/Jobs","K12JobSpot"
"2382013","Louds Island Unorganized Territory","ME","","Response","maine.gov","Response","",
"1925200","St. Ansgar Community School District","IA","St. Ansgar","Response","stacsd.org","Response","https://iowa.schoolspring.com/","SchoolSpring"
"1928170","Twin Cedars Community School District","IA","Bussey","Response","twincedars.k12.ia.us","Response","https://www.iowaworks.gov/vosnet/guest.aspx?enc=Y74j/oafCCywy46hLftbHkDO5WEqbeJGui4JVoIo7ur0GAXYx7c0RW4NhUf9n1H/4rMGuMH6LunrI+9lf0E2rg==","IowaWorks"
"1803870","Gary Community School Corporation","IN","Gary","Response","garycsc.k12.in.us","Response","https://www.applitrack.com/garycsc/onlineapp/default.aspx","Frontline"
"1805190","Jennings County Schools","IN","North Vernon","Response","jcsc.org","Response","https://www.applitrack.com/jcsc/onlineapp/","AppliTrack"
"1807680","North Adams Community Schools","IN","Decatur","Response","nadams.k12.in.us","Response","https://phlaptweb36.applitrack.com/nadams/onlineapp/","Frontline"
"1807890","North Miami Community Schools","IN","Denver","Response","nmcs.k12.in.us","Response","https://nmcs.schoolspring.com/","SchoolSpring"
"1807900","North Montgomery Community School Corporation","IN","Crawfordsville","Response","nm.k12.in.us","Response","https://www.applitrack.com/nmk12/onlineapp","AppliTrack"
"1807920","North Newton School Corporation","IN","Morocco","Response","nn.k12.in.us","Response","https://www.applitrack.com/nnk12/onlineapp/default.aspx","Frontline"
"1807950","North Posey County Schools Metropolitan School District","IN","Poseyville","Response","northposey.k12.in.us","Response","https://www.applitrack.com/northposey/onlineapp/default.aspx","AppliTrack"
"1807980","North Putnam Community Schools","IN","Bainbridge","Response","nputnam.k12.in.us","Response","https://nputnam.tedk12.com/hire/index.aspx","PowerSchool Applicant Tracking"
"1808010","North Spencer County School Corporation","IN","Lincoln City","Response","nspencer.k12.in.us","Response","https://app.hirenimble.com/jobview/100035","Nimble"
"1808040","Tipton County Northern Community School Corporation","IN","Sharpsville","Response","tccsadmin.ss7.sharpschool.com","Response","https://www.applitrack.com/wabash/onlineapp/jobpostings/view.asp?choosedistrict=true&applitrackclient=1364","AppliTrack"
"1808070","North Vermillion Community School Corporation","IN","Cayuga","Response","nvc.k12.in.us","Response","https://northvermillion.com/employment/",
"1808100","North West Hendricks Schools","IN","Lizton","Response","hendricks.k12.in.us","Response","https://www.applitrack.com/nwhendricks/onlineapp/jobpostings/view.asp?all=1","AppliTrack"
"1808120","Northeast Dubois County School Corporation","IN","Dubois","Response","nedubois.k12.in.us","Response","https://app.hirenimble.com/jobs/northeastduboiscoschcorp","Nimble"
"1808130","North White School Corporation","IN","Monon","Response","nwhite.k12.in.us","Response","https://www.nwhite.k12.in.us/documents/employment/job-postings/16488372",
"1808160","Northeast School Corporation","IN","Hymera","Response","nesc.k12.in.us","Response","","Nimble"
"1808190","Northeastern Wayne Schools","IN","Fountian City","Response","nws.k12.in.us","Response","https://www.applitrack.com/nws/onlineapp/","Frontline"
"1808900","Pike County School Corporation","IN","Petersburg","Response","pcsc.k12.in.us","Response","https://www.pcsc.k12.in.us/page/position-vacancies",
"2011610","Wallace County Schools Unified School District 241","KS","Sharon Springs","Response","usd241.org","Response","https://jobs.educatekansas.org/inner.php?p=scripts/funct.employer.details&trimText=1&employerCode=cf54b9b431a6ee2&MapQuery=521","Educate Kansas"
"2011640","Shawnee Mission Public Schools Unified School District","KS","Shawnee Mission","Response","smsd.org","Response","https://www.applitrack.com/smsd/onlineapp/default.aspx","Frontline"
"2011700","Silver Lake Unified School District 372","KS","Silver Lake","Response","silverlakeschools.org","Response","https://silverlake.schoolspring.com/","SchoolSpring"
"1810020","Scott County School District 2","IN","Scottsburg","Response","scsd2.k12.in.us","Response","https://skyward.iscorp.com/scripts/wsisa.dll/WService=wsfinscottcoin/rappljoblst484.w","Skyward"
"2100480","Berea Independent School District","KY","Berea","Response","berea.kyschools.us","Response","https://bereaky.tedk12.com/hire/index.aspx","PowerSchool Applicant Tracking"
"2100510","Boone County School District","KY","Florence","Response","boone.kyschools.us","Response","https://www.applitrack.com/booneky/onlineapp/","Frontline"
"2100540","Bourbon County School District","KY","Paris","Response","bourbon.kyschools.us","Response","https://bourbonky.tedk12.com/hire","TedK12"
"2100570","Bowling Green Independent School District","KY","Bowling Green","Response","bgreen.kyschools.us","Response","https://bg.schoolspring.com/","SchoolSpring"
"2100660","Bracken County School District","KY","Brooksville","Response","bracken.kyschools.us","Response","https://www.bracken.kyschools.us/employment",
"1811340","Tippecanoe School Corporation","IN","Lafayette","Response","tsc.k12.in.us","Response","https://secure7.saashr.com/ta/6206242.careers?CareersSearch=&InFrameset=1&HostedBy=www.tsc.k12.in.us&lang=en-US","SAASHR"
"2102100","Fulton County School District","KY","Hickman","Response","fulton.kyschools.us","Response","https://fultonky.tedk12.com/hire/index.aspx","PowerSchool"
"2102280","Graves County School District","KY","Mayfield","Response","graves.kyschools.us","Response","https://graves.tedk12.com/hire/index.aspx","PowerSchool"
"2102300","Grayson County School District","KY","Leitchfield","Response","graysoncountyschools.com","Response","https://www.applitrack.com/grayson/onlineapp/default.aspx?all=1","Frontline"
"2102340","Green County School District","KY","Greensburg","Response","green.kyschools.us","Response","https://sites.google.com/green.kyschools.us/job-postings/home",
"2103090","Kenton County School District","KY","Fort Wright","Response","kenton.kyschools.us","Response","https://www.applitrack.com/kenton/onlineapp/default.aspx","AppliTrack"
"2103120","Knott County School District","KY","Hindman","Response","knott.k12.ky.us","Response","https://www.k12jobspot.com/District/5856/Jobs","K12JobSpot"
"1903220","Akron-Westfield Community School District","IA","Akron","Response","akron-westfield.com","Response","https://sites.google.com/akron-westfield.com/awhr/employment-opportunities",
"1903270","Albia Community School District","IA","Albia","Response","albiacsd.org","Response","https://albiacsd.mysmarthire.com/jobs/26879-5879.html","MySmartHire"
"2104560","Owen County School District","KY","Owenton","Response","owen.k12.ky.us","Response","https://www.applitrack.com/owen/onlineapp/","Frontline"
"2105040","Robertson County School District","KY","Mount Olivet","Response","school.robertson.k12.ky.us","Response","https://applications.education.ky.gov/keps/jobsearch.aspx","KEPS"
"2105070","Rockcastle County School District","KY","Mount Vernon","Response","rockcastle.kyschools.us","Response","https://rockcastle.schoolspring.com/","SchoolSpring"
"2105100","Rowan County School District","KY","Morehead","Response","rowan.k12.ky.us","Response","https://rowan.tedk12.com/hire/index.aspx","PowerSchool"
"2105130","Russell Independent School District","KY","Flatwoods","Response","russellind.kyschools.us","Response","https://russellind.tedk12.com/hire/index.aspx","PowerSchool Applicant Tracking"
"1905490","Brooklyn-Guernsey-Malcom Community School District","IA","Brooklyn","Response","brooklyn.k12.ia.us","Response","https://www.brooklyn.k12.ia.us/district/job-openings",
"1905750","North Iowa Community School District","IA","Buffalo Center","Response","northiowa.org","Response","https://www.iowaworks.gov/vosnet/Default.aspx","iowaworks.gov"
"1907050","Chariton Community School District","IA","Chariton","Response","charitonschools.org","Response","https://www.charitonschools.org/district/employment/",
"1909990","Eagle Grove Community School District","IA","Eagle Grove","Response","eagle-grove.k12.ia.us","Response","https://www.eaglegrove.school/employment-opportunities/",
"1911250","Exira-Elk Horn-Kimballton Community School District","IA","Elk Horn","Response","exira-ehk.k12.ia.us","Response","https://www.applitrack.com/teachiowa/OnlineApp/JobPostings/view.asp?embed=1&ApplitrackLayoutMode=condensed&ApplitrackSort=newest&choosedistrict=true&applitrackclient=37512=,%20298=&all=1=&category=Secretarial=&https%3A%2F%2Fwww%2Eapplitrack%2Ecom%2Fteachiowa%2FOnlineApp%2FJobPostings%2Fview%2Easp%3FApplitrackLayoutMode%3Dcondensed%26ApplitrackSort%3Dnewest%26choosedistrict%3Dtrue%26applitrackclient%3D37512%3D%2C+298%3D%26all%3D1%3D%26category%3DSecretarial%3D%26AppliTrackJobId%3D11930%5F298%26AppliTrackLayoutMode%3Ddetail%26AppliTrackViewPosting%3D1","AppliTrack"
"1912480","George-Little Rock Community School District","IA","George","Response","george-littlerock.org","Response","https://george-littlerock.org/school-board/district-vacancies/",
"1912510","Gilbert Community School District","IA","Gilbert","Response","gilbertcsd.org","Response","https://www.applitrack.com/gilbert/onlineapp/","AppliTrack"
"1913320","Guthrie Center Community School District","IA","Guthrie Center","Response","acgcschools.org","Response","https://iowa.schoolspring.com/","SchoolSpring"
"1914160","Hinton Community School District","IA","Hinton","Response","hintonschool.com","Response","https://iowa.schoolspring.com","SchoolSpring"
"1914280","Howard-Winneshiek Community School District","IA","Cresco","Response","howard-winn.k12.ia.us","Response","https://iowa.schoolspring.com/","SchoolSpring"
"1914310","Hubbard-Radcliffe Community School District","IA","Hubbard","Response","southhardin.k12.ia.us","Response","https://southhardin.k12.ia.us/employment",
"1918840","MOC-Floyd Valley Community School District","IA","Orange City","Response","mocfv.org","Response","https://mocfv.org/index.php/district/employment-opportunities/",
"2311100","School Administrative District 27","ME","Fort Kent","Response","sad27.org","Response","https://www.applitrack.com/vuesc/onlineapp/default.aspx","Frontline"
"2311160","School Administrative District 29","ME","Houlton","Response","rsu29.org","Response","https://www.servingschools.com/employerjobs/txr3/rsu-29-msad-29","ServingSchools"
"2311220","School Administrative District 30","ME","Lee","Response","aos90.org","Response","https://www.msad30.org/page/jobs-employment-opportunities",
"2311250","School Administrative District 31","ME","Lagrange","Response","sau31.org","Response","https://www.servingschools.com/employerjobs/ef66/msad-31-howland-burlington-enfield-edinburg-passadumkeag-maxfield","ServingSchools"
"2311430","School Administrative District 37","ME","Harrington","Response","msad37.me","Response","",
"1930870","West Central Community School District","IA","Maynard","Response","w-central.k12.ia.us","Response","https://www.w-central.k12.ia.us/vnews/display.v/SEC/District%7CEmployment%20Opportunities",
